,도소매업생산지수,음식숙박업생산지수,금융보험생산지수,부동산및임대업생산지수,운수보관생산지수,정보통신업,보건및사회복지업생산지수,사업서비스업생산지수,수신,여신,실업률,여수신,광공업생산지수,건설업생산지수,KOSPI,interest,gdpRate,CPI,export,import,label
2008-11-30,-0.06229143492769751,-0.01945525291828798,0.03543307086614189,-0.016426082628173244,-0.0608875128998968,0.02242744063324542,0.08816705336426911,-0.008652657601977753,0.14010357621049008,0.14007889598153778,0.0,0.1402676983331268,-0.136,-0.146,-0.5716913397603518,0.0753,-0.033,0.045,-0.195,-0.15,3.0
2008-12-31,-0.05211726384364823,-0.05847176079734229,0.05811623246492981,-0.032432432432432434,-0.03739316239316237,-0.03810504634397516,0.07640449438202235,-0.03176470588235303,0.13859846396050313,0.14107577463460408,0.06451612903225801,0.1218336684483321,-0.18300000000000002,-0.197,-0.5230304329517397,0.0689,-0.033,0.0409999999999999,-0.179,-0.216,3.0
2009-01-31,-0.04810996563573888,-0.04106463878327005,0.04365079365079372,0.10171102661596954,-0.13312368972746336,-0.02578018995929454,0.07268722466960353,-0.05031446540880502,0.11491181272261763,0.12998886408383226,0.09090909090909105,0.012005576438375964,-0.252,-0.11199999999999999,-0.3350736006562087,0.0591,0.001,0.037,-0.345,-0.314,2.0
2009-02-28,-0.04283965728274175,-0.0033167495854062867,0.08847736625514391,0.024519230769230793,-0.12680756395995552,0.0,0.09684684684684686,-0.04987212276214836,0.12966731802259424,0.12652844173621114,0.11428571428571432,0.1512806517611689,-0.094,0.004,-0.47631693907810835,0.055700000000000006,0.001,0.0409999999999999,-0.185,-0.308,3.0
2009-03-31,-0.04988913525498895,-0.026254826254826336,0.0714285714285714,-0.2100840336134454,-0.12016293279022405,-0.008917197452229297,0.09523809523809512,-0.06388206388206397,0.11780001293231024,0.12124232472859942,0.17647058823529416,0.0920393453926458,-0.10099999999999999,-0.051,-0.34544788222634537,0.055,0.001,0.039,-0.225,-0.356,2.0
2009-04-30,-0.043820224719101186,0.003172085646312439,0.12890624999999978,-0.06541554959785512,-0.11967545638945232,0.02251655629139071,0.08552631578947367,-0.07064555420219243,0.0934089739756987,0.10768983264814991,0.18749999999999978,-0.004937710874643564,-0.073,0.002,-0.2874940053678454,0.054000000000000006,0.013000000000000001,0.036,-0.1989999999999999,-0.35,2.0
2009-05-31,-0.036666666666666625,-0.015048908954100826,0.09652509652509655,-0.02994923857868026,-0.09839357429718876,0.013123359580052396,0.08096280087527341,-0.06060606060606055,0.09244179667248731,0.0995650771300427,0.22580645161290303,0.04245362077239956,-0.08199999999999999,-0.032,-0.28274473067972306,0.0542,0.013000000000000001,0.027,-0.294,-0.395,2.0
2009-06-30,0.01497695852534564,0.0,0.07692307692307687,0.16226978596316566,-0.08082901554404143,0.017743979721165815,0.09740259740259738,-0.05186972255729805,0.09869777637797328,0.08827300258703952,0.22580645161290303,0.17663039510492795,-0.006,0.161,-0.18641136223185217,0.0547,0.013000000000000001,0.02,-0.136,-0.321,2.0
2009-07-31,-0.014857142857142791,-0.013076923076922986,0.06994328922495274,0.16529351184346042,-0.08358817533129448,0.007874015748031482,0.08955223880597019,-0.02195121951219514,0.09362716942004035,0.07645403185921507,0.19354838709677424,0.23276270923673525,0.009000000000000001,0.004,-0.023719689624804197,0.0553,0.03,0.016,-0.221,-0.356,2.0
2009-08-31,-0.010613207547169656,-0.06040756914119372,0.09845559845559859,0.16191983122362874,-0.05607476635514008,0.006775067750677488,0.10191082802547768,-0.00614250614250611,0.08359838201842273,0.07275636563368337,0.19354838709677424,0.16352028580407252,0.013999999999999999,-0.057999999999999996,0.07675425039942496,0.056100000000000004,0.03,0.022,-0.209,-0.322,2.0
