"날짜","종가","시가","고가","저가","변동 %"
"2016- 12- 14","1.545","1.545","1.545","1.545","-1.40%"
"2016- 12- 13","1.567","1.567","1.567","1.567","-0.70%"
"2016- 12- 12","1.578","1.578","1.578","1.578","-0.19%"
"2016- 12- 10","1.581","1.581","1.581","1.581","2.80%"
"2016- 12- 08","1.538","1.535","1.538","1.535","-0.77%"
"2016- 12- 07","1.550","1.550","1.550","1.550","-0.58%"
"2016- 12- 06","1.559","1.562","1.562","1.559","0.06%"
"2016- 12- 05","1.558","1.565","1.565","1.557","-1.70%"
"2016- 12- 02","1.585","1.595","1.595","1.585","-1.37%"
"2016- 12- 01","1.607","1.607","1.607","1.607","-0.80%"
"2016- 11- 30","1.620","1.620","1.622","1.620","-1.04%"
"2016- 11- 29","1.637","1.635","1.637","1.632","-1.44%"
"2016- 11- 28","1.661","1.694","1.694","1.660","-1.95%"
"2016- 11- 25","1.694","1.695","1.695","1.692","0.53%"
"2016- 11- 24","1.685","1.685","1.688","1.685","3.69%"
"2016- 11- 23","1.625","1.632","1.632","1.625","1.25%"
"2016- 11- 22","1.605","1.617","1.617","1.605","0.63%"
"2016- 11- 21","1.595","1.595","1.605","1.595","0.89%"
"2016- 11- 18","1.581","1.565","1.581","1.565","2.53%"
"2016- 11- 17","1.542","1.535","1.542","1.535","-0.90%"
"2016- 11- 16","1.556","1.560","1.560","1.556","3.18%"
"2016- 11- 15","1.508","1.510","1.510","1.508","-0.46%"
"2016- 11- 14","1.515","1.520","1.520","1.512","3.91%"
"2016- 11- 11","1.458","1.455","1.458","1.455","2.03%"
"2016- 11- 10","1.429","1.430","1.430","1.429","1.49%"
"2016- 11- 09","1.408","1.412","1.413","1.408","-1.40%"
"2016- 11- 08","1.428","1.428","1.428","1.428","-0.21%"
"2016- 11- 07","1.431","1.431","1.431","1.431","0.42%"
"2016- 11- 05","1.425","1.425","1.425","1.425","0.64%"
"2016- 11- 04","1.416","1.416","1.416","1.416","-0.14%"
"2016- 11- 03","1.418","1.417","1.418","1.417","0.28%"
"2016- 11- 02","1.414","1.412","1.414","1.412","-0.49%"
"2016- 11- 01","1.421","1.420","1.421","1.420","0.07%"
"2016- 10- 31","1.420","1.420","1.420","1.420","-0.35%"
"2016- 10- 28","1.425","1.425","1.425","1.425","0.42%"
"2016- 10- 27","1.419","1.420","1.421","1.419","-0.07%"
"2016- 10- 26","1.420","1.420","1.421","1.420","0.78%"
"2016- 10- 25","1.409","1.415","1.415","1.409","0.14%"
"2016- 10- 24","1.407","1.407","1.407","1.407","0.86%"
"2016- 10- 21","1.395","1.392","1.395","1.392","1.68%"
"2016- 10- 20","1.372","1.372","1.372","1.372","-0.07%"
"2016- 10- 19","1.373","1.375","1.375","1.373","0.37%"
"2016- 10- 18","1.368","1.370","1.370","1.368","-0.22%"
"2016- 10- 17","1.371","1.371","1.371","1.371","1.18%"
"2016- 10- 15","1.355","1.355","1.355","1.355","0.00%"
"2016- 10- 14","1.355","1.355","1.356","1.355","-0.73%"
"2016- 10- 13","1.365","1.365","1.365","1.365","-1.30%"
"2016- 10- 12","1.383","1.383","1.383","1.383","0.58%"
"2016- 10- 11","1.375","1.377","1.377","1.375","0.73%"
"2016- 10- 10","1.365","1.367","1.367","1.365","0.00%"
"2016- 10- 07","1.365","1.365","1.365","1.365","0.22%"
"2016- 10- 06","1.362","1.362","1.363","1.362","0.22%"
"2016- 10- 05","1.359","1.353","1.359","1.353","1.19%"
"2016- 10- 04","1.343","1.345","1.345","1.343","-0.15%"
"2016- 09- 30","1.345","1.345","1.347","1.345","-1.25%"
"2016- 09- 29","1.362","1.360","1.362","1.360","-0.58%"
"2016- 09- 28","1.370","1.370","1.370","1.370","0.07%"
"2016- 09- 27","1.369","1.370","1.370","1.368","0.00%"
"2016- 09- 26","1.369","1.370","1.370","1.369","0.74%"
"2016- 09- 25","1.359","1.359","1.359","1.359","0.00%"
"2016- 09- 24","1.359","1.359","1.359","1.359","0.00%"
"2016- 09- 23","1.359","1.360","1.360","1.358","0.44%"
"2016- 09- 22","1.353","1.352","1.353","1.352","-0.95%"
"2016- 09- 21","1.366","1.366","1.366","1.366","0.29%"
"2016- 09- 20","1.362","1.362","1.362","1.362","0.44%"
"2016- 09- 19","1.356","1.357","1.357","1.356","0.67%"
"2016- 09- 17","1.347","1.347","1.347","1.347","0.00%"
"2016- 09- 13","1.347","1.347","1.347","1.347","0.00%"
"2016- 09- 12","1.347","1.347","1.347","1.347","1.20%"
"2016- 09- 09","1.331","1.330","1.331","1.330","2.38%"
"2016- 09- 08","1.300","1.302","1.302","1.300","0.08%"
