"날짜","종가","시가","고가","저가","변동 %"
"2023- 10- 01","4.132","3.925","4.199","3.925","4.74%"
"2023- 09- 01","3.945","3.733","3.989","3.703","5.37%"
"2023- 08- 01","3.744","3.665","3.895","3.648","1.33%"
"2023- 07- 01","3.695","3.667","3.806","3.540","0.43%"
"2023- 06- 01","3.679","3.440","3.710","3.401","6.58%"
"2023- 05- 01","3.452","3.326","3.603","3.176","4.99%"
"2023- 04- 01","3.288","3.300","3.387","3.136","0.64%"
"2023- 03- 01","3.267","3.890","3.949","3.124","-14.70%"
"2023- 02- 01","3.830","3.280","3.830","3.055","15.64%"
"2023- 01- 01","3.312","3.796","3.820","3.190","-11.42%"
"2022- 12- 01","3.739","3.648","3.753","3.410","1.44%"
"2022- 11- 01","3.686","4.270","4.300","3.644","-13.60%"
"2022- 10- 01","4.266","4.106","4.648","4.000","1.86%"
"2022- 09- 01","4.188","3.856","4.610","3.599","10.15%"
"2022- 08- 01","3.802","3.126","3.837","3.033","23.96%"
"2022- 07- 01","3.067","3.593","3.593","3.028","-16.16%"
"2022- 06- 01","3.658","3.285","3.920","3.281","12.31%"
"2022- 05- 01","3.257","3.262","3.447","3.081","2.68%"
"2022- 04- 01","3.172","2.857","3.312","2.857","11.06%"
"2022- 03- 01","2.856","2.419","3.009","2.395","15.72%"
"2022- 02- 01","2.468","2.359","2.582","2.359","3.01%"
"2022- 01- 01","2.396","2.023","2.449","2.023","19.50%"
"2021- 12- 01","2.005","2.033","2.046","1.873","-0.69%"
"2021- 11- 01","2.019","2.420","2.437","1.983","-16.05%"
"2021- 10- 01","2.405","1.916","2.418","1.911","24.61%"
"2021- 09- 01","1.930","1.655","2.000","1.655","16.90%"
"2021- 08- 01","1.651","1.654","1.711","1.596","0.73%"
"2021- 07- 01","1.639","1.742","1.787","1.602","-5.75%"
"2021- 06- 01","1.739","1.738","1.810","1.592","0.00%"
"2021- 05- 01","1.739","1.631","1.748","1.618","6.69%"
"2021- 04- 01","1.630","1.604","1.647","1.521","1.81%"
"2021- 03- 01","1.601","1.435","1.708","1.412","10.49%"
"2021- 02- 01","1.449","1.325","1.467","1.303","9.77%"
"2021- 01- 01","1.320","1.338","1.353","1.281","-1.12%"
"2020- 12- 01","1.335","1.331","1.375","1.280","-0.30%"
"2020- 11- 01","1.339","1.259","1.343","1.225","8.42%"
"2020- 10- 01","1.235","1.125","1.267","1.125","11.46%"
"2020- 09- 01","1.108","1.222","1.290","1.108","-8.35%"
"2020- 08- 01","1.209","1.030","1.226","1.027","17.26%"
"2020- 07- 01","1.031","1.108","1.158","1.001","-7.12%"
"2020- 06- 01","1.110","1.104","1.214","1.063","0.91%"
"2020- 05- 01","1.100","1.242","1.246","0.995","-11.50%"
"2020- 04- 01","1.243","1.284","1.360","1.170","-4.02%"
"2020- 03- 01","1.295","1.127","1.550","1.098","9.47%"
"2020- 02- 01","1.183","1.356","1.486","1.183","-14.46%"
"2020- 01- 01","1.383","1.479","1.603","1.333","-5.92%"
"2019- 12- 01","1.470","1.501","1.554","1.442","0.00%"
"2019- 11- 01","1.470","1.559","1.753","1.470","-7.08%"
"2019- 10- 01","1.582","1.344","1.649","1.245","17.01%"
"2019- 09- 01","1.352","1.250","1.439","1.247","10.01%"
"2019- 08- 01","1.229","1.337","1.344","1.103","-7.25%"
"2019- 07- 01","1.325","1.527","1.527","1.322","-12.02%"
"2019- 06- 01","1.506","1.599","1.609","1.434","-6.17%"
"2019- 05- 01","1.605","1.751","1.782","1.600","-7.12%"
"2019- 04- 01","1.728","1.719","1.830","1.719","1.17%"
"2019- 03- 01","1.708","1.915","1.915","1.697","-8.91%"
"2019- 02- 01","1.875","1.886","1.893","1.836","-0.42%"
"2019- 01- 01","1.883","1.876","1.918","1.825","-0.48%"
"2018- 12- 01","1.892","1.993","2.006","1.811","-3.96%"
"2018- 11- 01","1.970","2.082","2.136","1.957","-4.55%"
"2018- 10- 01","2.064","2.182","2.291","1.992","-5.10%"
"2018- 09- 01","2.175","2.110","2.254","2.059","2.79%"
"2018- 08- 01","2.116","2.344","2.386","2.115","-9.96%"
"2018- 07- 01","2.350","2.353","2.389","2.301","-0.17%"
"2018- 06- 01","2.354","2.471","2.532","2.341","-5.08%"
"2018- 05- 01","2.480","2.503","2.616","2.436","-0.24%"
"2018- 04- 01","2.486","2.443","2.525","2.365","2.43%"
"2018- 03- 01","2.427","2.504","2.584","2.416","-3.65%"
"2018- 02- 01","2.519","2.554","2.602","2.481","-1.98%"
"2018- 01- 01","2.570","2.341","2.624","2.318","9.50%"
"2017- 12- 01","2.347","2.270","2.372","2.234","3.80%"
"2017- 11- 01","2.261","2.360","2.447","2.255","-5.08%"
"2017- 10- 01","2.382","2.095","2.544","2.095","14.03%"
"2017- 09- 01","2.089","1.966","2.142","1.940","6.26%"
"2017- 08- 01","1.966","1.942","2.059","1.935","2.08%"
"2017- 07- 01","1.926","1.916","2.005","1.901","0.94%"
"2017- 06- 01","1.908","1.888","1.924","1.821","2.03%"
"2017- 05- 01","1.870","1.875","1.965","1.858","0.05%"
"2017- 04- 01","1.869","1.855","1.932","1.786","1.69%"
"2017- 03- 01","1.838","1.909","2.041","1.830","-1.13%"
"2017- 02- 01","1.859","1.848","1.925","1.800","0.43%"
"2017- 01- 01","1.851","1.793","1.888","1.756","2.43%"
"2016- 12- 01","1.807","2.000","2.000","1.782","-4.79%"
"2016- 11- 01","1.898","1.513","2.031","1.411","26.62%"
"2016- 10- 01","1.499","1.307","1.536","1.276","19.63%"
"2016- 09- 01","1.253","1.352","1.417","1.234","-7.46%"
"2016- 08- 01","1.354","1.222","1.358","1.219","9.37%"
"2016- 07- 01","1.238","1.287","1.290","1.207","-4.84%"
"2016- 06- 01","1.301","1.532","1.537","1.257","-18.02%"
"2016- 05- 01","1.587","1.553","1.603","1.515","2.52%"
"2016- 04- 01","1.548","1.542","1.643","1.532","0.13%"
"2016- 03- 01","1.546","1.574","1.690","1.532","-0.58%"
"2016- 02- 01","1.555","1.672","1.672","1.523","-8.53%"
"2016- 01- 01","1.700","1.816","1.818","1.700","-6.59%"
"2015- 12- 01","1.820","1.972","2.033","1.798","-7.43%"
