"시점",원데이터,전년동월 대비 증감률
"1984.02",28.704,2.0
"1984.03",28.809,2.0
"1984.04",28.893,2.6
"1984.05",28.850,2.2
"1984.06",28.704,1.7
"1984.07",28.704,1.7
"1984.08",28.850,2.2
"1984.09",29.186,3.2
"1984.10",29.040,2.7
"1984.11",28.976,2.7
"1984.12",28.976,2.4
"1985.01",29.052,2.1
"1985.02",29.259,1.9
"1985.03",29.289,1.7
"1985.04",29.319,1.5
"1985.05",29.526,2.3
"1985.06",29.555,3.0
"1985.07",29.555,3.0
"1985.08",29.614,2.6
"1985.09",29.939,2.6
"1985.10",30.028,3.4
"1985.11",29.674,2.4
"1985.12",29.850,3.0
"1986.01",30.117,3.7
"1986.02",30.293,3.5
"1986.03",30.353,3.6
"1986.04",30.323,3.4
"1986.05",30.501,3.3
"1986.06",30.442,3.0
"1986.07",30.471,3.1
"1986.08",30.442,2.8
"1986.09",30.619,2.3
"1986.10",30.323,1.0
"1986.11",30.265,2.0
"1986.12",30.265,1.4
"1987.01",30.382,0.9
"1987.02",30.442,0.5
"1987.03",30.677,1.1
"1987.04",30.855,1.8
"1987.05",31.327,2.7
"1987.06",31.299,2.8
"1987.07",31.209,2.4
"1987.08",31.653,4.0
"1987.09",31.860,4.1
"1987.10",31.890,5.2
"1987.11",31.831,5.2
"1987.12",32.096,6.0
"1988.01",32.273,6.2
"1988.02",32.805,7.8
"1988.03",33.279,8.5
"1988.04",33.221,7.7
"1988.05",33.396,6.6
"1988.06",33.604,7.4
"1988.07",33.663,7.9
"1988.08",33.840,6.9
"1988.09",33.929,6.5
"1988.10",33.840,6.1
"1988.11",34.107,7.2
"1988.12",34.402,7.2
"1989.01",34.460,6.8
"1989.02",34.579,5.4
"1989.03",34.816,4.6
"1989.04",34.963,5.2
"1989.05",35.407,6.0
"1989.06",35.466,5.5
"1989.07",35.436,5.3
"1989.08",35.703,5.5
"1989.09",36.028,6.2
"1989.10",36.116,6.7
"1989.11",36.175,6.1
"1989.12",36.146,5.1
"1990.01",36.982,7.3
"1990.02",37.213,7.6
"1990.03",37.598,8.0
"1990.04",38.022,8.7
"1990.05",38.445,8.6
"1990.06",38.636,8.9
"1990.07",38.752,9.4
"1990.08",38.907,9.0
"1990.09",39.138,8.6
"1990.10",39.253,8.7
"1990.11",39.292,8.6
"1990.12",39.521,9.3
"1991.01",40.368,9.2
"1991.02",40.907,9.9
"1991.03",41.408,10.1
"1991.04",41.600,9.4
"1991.05",41.715,8.5
"1991.06",41.984,8.7
"1991.07",42.254,9.0
"1991.08",42.600,9.5
"1991.09",42.832,9.4
"1991.10",42.909,9.3
"1991.11",43.100,9.7
"1991.12",43.177,9.3
"1992.01",43.486,7.7
"1992.02",43.755,7.0
"1992.03",44.217,6.8
"1992.04",44.486,6.9
"1992.05",44.756,7.3
"1992.06",44.834,6.8
"1992.07",45.025,6.6
"1992.08",45.102,5.9
"1992.09",45.256,5.7
"1992.10",45.217,5.4
"1992.11",44.986,4.4
"1992.12",45.102,4.5
"1993.01",45.448,4.5
"1993.02",45.756,4.6
"1993.03",46.333,4.8
"1993.04",46.603,4.8
"1993.05",46.757,4.5
"1993.06",46.988,4.8
