Date,return,volatility,SADF,buyRate,trend,label
2000-02-29,-0.13052705311731191,0.10292577188826285,0.0,0.45177869415673966,-1.9047782931380044,-1.0
2000-03-31,0.038552829284508885,0.10519181831513104,0.0,0.49047473563285565,-1.5737713124812691,-1.0
2000-04-30,-0.17131537433224567,0.09995643914001252,0.0,0.40348417181696344,2.0034089183986215,1.0
2000-05-31,0.00890712484024069,0.10798261567861882,0.0,0.4672794673551703,-0.8994910597458287,-1.0
2000-06-30,0.11517447335486466,0.10202363338188988,0.0,0.6748010322609436,-5.0498031494918125,-1.0
2000-07-31,-0.15121829577868448,0.10209973002187746,0.0,0.5469799753476695,-4.960518518634093,-1.0
2000-08-31,-0.024883148751913515,0.10700701158138956,0.0,0.41258819002435365,-12.922850369753316,-1.0
2000-09-30,-0.11596583266881566,0.10144187738399728,0.0,0.3775168930948245,-2.035095025688306,-1.0
2000-10-31,-0.1755670804252086,0.10230341764930452,0.0,0.49079780257665123,-26.684407754108623,-1.0
2000-11-30,-0.010256900932249626,0.11052504372307424,0.0,0.45125528640292467,1.6031493142950062,1.0
2000-12-31,-0.00909411011812426,0.10447128152791353,0.0,0.5276558750979704,0.8312938820389367,1.0
2001-01-31,0.20253714500826203,0.09878338948987618,0.0,0.7314317267492308,-10.883071729840584,-1.0
2001-02-28,-0.0665959516960655,0.11086760973018896,0.0,0.486763452201625,0.928497857936034,1.0
2001-03-31,-0.09974483837635356,0.10678050081472089,0.0,0.36895302467204827,7.965284323949054,1.0
2001-04-30,0.09846396305194098,0.10548785343719125,0.0,0.5514339398510844,-0.8879970346176449,-1.0
2001-05-31,0.05852769748787026,0.10368296354591032,0.0,0.5496729153883085,-3.4508853178182455,-1.0
2001-06-30,-0.028213817176195068,0.09937267456345361,0.0,0.4342070747509997,-3.7613755619193188,-1.0
2001-07-31,-0.0943444707939468,0.09440312434348107,0.0,0.4210285994731723,-1.5532973396765666,-1.0
2001-08-31,0.006552210877967884,0.09393490201237102,0.0,0.4431402685096407,1.2824472903294646,1.0
2001-09-30,-0.127868394245481,0.08884370435976886,0.0,0.45588588126856694,9.993908161894911,1.0
2001-10-31,0.1143861230206238,0.09278436463022302,0.0,0.6579991498972202,7.366903032585405,1.0
2001-11-30,0.18002256612682627,0.0938802216529075,0.0,0.6480119570153813,39.57128358169472,1.0
2001-12-31,0.07451168632957267,0.10340942234218026,0.0,0.5690203123317475,19.382223246289858,1.0
2002-01-31,0.07545696609231699,0.1000336579055252,0.0,0.5060724172406436,69.61711570149319,1.0
2002-02-28,0.09179558857841394,0.09700678571835235,0.0,0.5380909992979481,-0.5770120537461977,-1.0
2002-03-31,0.08817940801531839,0.09548836792147036,0.0,0.6321736357654526,-47.33891265407653,-1.0
2002-04-30,-0.06128781986539007,0.09382208010099195,0.0,0.5379175993576686,-22.292881324291532,-1.0
2002-05-31,-0.056082161021873696,0.09080827326802979,0.0,0.3940511025973634,-4.691195296078598,-1.0
2002-06-30,-0.06978244910396897,0.08772239672762154,0.0,0.644175341453247,-1.8185017727414194,-1.0
2002-07-31,-0.03386348171143933,0.08584630964640752,0.0,0.41617191836672696,-1.7884187976408679,-1.0
2002-08-31,0.025317807984289786,0.08201470726756252,0.0,0.6147176903846098,-1.309516945457032,-1.0
2002-09-30,-0.13032400203662814,0.0779595735379172,0.0,0.3788750006509386,2.543239833219339,1.0
2002-10-31,0.01915268375648695,0.08401412818746265,0.0,0.5205533677176982,-1.3210304953209315,-1.0
2002-11-30,0.09529362364998797,0.07969141868185095,0.0,0.5467360031427415,-3.7403969193990547,-1.0
2002-12-31,-0.14407240562231438,0.08039555389401938,0.0,0.38979436286729635,-9.49067715045191,-1.0
2003-01-31,-0.05855322867627443,0.08801596212840108,0.0,0.4655252300945074,-4.174762804852716,-1.0
2003-02-28,-0.02815253302847448,0.08532026158150861,0.0,0.3526519134793708,1.5857099322056447,1.0
2003-03-31,-0.07154328451479157,0.08131169319650955,0.0,0.3241889652548055,9.001842288590986,1.0
2003-04-30,0.11227143176619421,0.08020365827166316,0.0,0.6123340520893678,50.101699179593645,1.0
2003-05-31,0.0552879745765496,0.08272241811617316,0.0,0.6081232970133766,27.574531700429006,1.0
2003-06-30,0.05603952008524709,0.0798819675043555,0.0,0.6478133823920879,65.71518191089368,1.0
2003-07-31,0.06303723804304649,0.07732343873595536,0.0,0.6182337817086553,0.7596900963765256,1.0
2003-08-31,0.062410354226907015,0.07545448272014546,0.0,0.644045976243235,0.9992113497825844,1.0
2003-09-30,-0.08508963446529941,0.0737131495869878,0.0,0.41604497643807287,2.89204410277363,1.0
2003-10-31,0.11478380554975755,0.07474575320092085,0.0,0.6325844783482848,69.16005689374573,1.0
2003-11-30,0.017510298264649827,0.07837963865262498,0.0,0.5331513346786002,8.060293578227416,1.0
2003-12-31,0.01808511600273829,0.07440003066263183,0.0,0.5185362410584771,43.880632131824996,1.0
2004-01-31,0.04555967773757586,0.07069702618186131,0.0,0.5493562687207165,1.464736412320407,1.0
2004-02-29,0.04033065403263839,0.06828995192096994,0.0,0.6434726732175937,-2.828672220270027,-1.0
2004-03-31,-0.003310810770658597,0.06580001730870132,0.0,0.44672876706878656,-5.896607765996971,-1.0
2004-04-30,-0.020260653809744674,0.06255569238297713,0.0,0.5047503227362843,-7.473068066447203,-1.0
2004-05-31,-0.07082902972679164,0.05991331428085273,0.0,0.5639826608209744,-3.6618975406934755,-1.0
2004-06-30,-0.02271066324078894,0.06119658724045929,0.19278683363775856,0.4530862432789255,1.2719972829714026,1.0
