,gdp_estimated
2001-01-01,0.0
2001-02-01,-15.710508288498913
2001-03-01,3.3471870765469327
2001-04-01,3.7972054573862426
2001-05-01,3.409122532901529
2001-06-01,5.506272697443265
2001-07-01,-2.0261404127616984
2001-08-01,-6.395872250723909
2001-09-01,14.948497811944854
2001-10-01,-8.176278022484805
2001-11-01,8.73335628385686
2001-12-01,1.2609981265748864
2002-01-01,16.50910810765235
2002-02-01,-17.660253851586248
2002-03-01,-3.8621691567911896
2002-04-01,10.191621150476657
2002-05-01,8.278341227263468
2002-06-01,1.053046259211726
2002-07-01,3.911664989151369
2002-08-01,2.2446893164584765
2002-09-01,-2.008807346057999
2002-10-01,5.679315678924645
2002-11-01,2.5137402830516606
2002-12-01,3.107497772780242
2003-01-01,-0.7522960591312042
2003-02-01,2.6574242952541596
2003-03-01,0.8133037582731575
2003-04-01,0.3531558683476348
2003-05-01,-0.837382260273813
2003-06-01,3.2312651037042386
2003-07-01,-0.2537038573105832
2003-08-01,-0.16671692960862572
2003-09-01,1.7693974840143625
2003-10-01,1.7161359187256409
2003-11-01,0.4544387227399085
2003-12-01,2.570636759923147
2004-01-01,0.15208528918689979
2004-02-01,4.562923585791452
2004-03-01,2.2221847182702135
2004-04-01,1.582147779994159
2004-05-01,2.2343777640806053
2004-06-01,1.877508109524456
2004-07-01,1.8583406848755573
2004-08-01,1.3163219733150129
2004-09-01,1.4029400156137655
2004-10-01,0.6145455634939339
2004-11-01,1.8421880974729135
2004-12-01,0.2497851100298334
2005-01-01,3.188675290643701
2005-02-01,-2.27532107742293
2005-03-01,1.6428579653821913
2005-04-01,1.9340840571716313
2005-05-01,1.7871821713242042
2005-06-01,1.3129886324952622
2005-07-01,2.0408495456276086
2005-08-01,1.5141083127981432
2005-09-01,1.4360753012061451
2005-10-01,1.4090231492187968
2005-11-01,2.4507922745749227
2005-12-01,2.385087087983351
2006-01-01,0.7955327046472007
2006-02-01,4.172115526599242
2006-03-01,1.2482043823183062
2006-04-01,0.7921488999522239
2006-05-01,1.7084389675558498
2006-06-01,1.9381510737957228
2006-07-01,0.362948929016369
2006-08-01,2.304958366651732
2006-09-01,4.016495364500145
2006-10-01,0.23164406433460272
2006-11-01,1.3576257409902723
2006-12-01,0.651867229363603
2007-01-01,2.937989677909286
2007-02-01,0.710290186385123
2007-03-01,1.8040903937844064
2007-04-01,2.656125022731061
2007-05-01,1.9116949725003565
2007-06-01,1.5897640128521857
2007-07-01,2.7640977262901743
2007-08-01,1.9336080355676302
2007-09-01,-0.7507322482104826
2007-10-01,4.650850697026783
2007-11-01,2.0223684159508366
2007-12-01,1.970567537871318
2008-01-01,2.144012486774585
2008-02-01,1.7299828788329705
2008-03-01,1.5444932903168649
2008-04-01,1.452878227006181
2008-05-01,1.366520627438149
2008-06-01,1.2893546046384756
2008-07-01,2.094847228502374
2008-08-01,0.2810946022209748
2008-09-01,1.208039273335828
2008-10-01,-0.9783542090250421
2008-11-01,-1.869870039109884
2008-12-01,-1.1223704435977027
2009-01-01,-1.282713470771597
2009-02-01,1.3675137024987691
2009-03-01,-0.1722760663774352
2009-04-01,-0.6517191422020119
2009-05-01,-1.438049048757705
2009-06-01,0.2082939543775808
2009-07-01,0.14611551731121608
2009-08-01,0.1392243387884946
2009-09-01,3.0046659104918945
2009-10-01,-0.26038135248063554
2009-11-01,2.7074737478880877
2009-12-01,4.817640401893442
2010-01-01,2.9189332753774977
2010-02-01,-0.6658517101031123
2010-03-01,2.132149042398794
2010-04-01,3.646205729682009
2010-05-01,3.436611250791543
2010-06-01,2.2897139346763993
2010-07-01,1.7497004801511764
2010-08-01,2.1562849676042504
2010-09-01,-0.177710495806366
2010-10-01,3.3156056577179527
2010-11-01,2.5385415147102606
2010-12-01,2.0752360214341934
2011-01-01,1.9940194833797307
2011-02-01,0.961567966262237
2011-03-01,1.605792059757647
2011-04-01,1.0583267393742233
2011-05-01,1.4269013367660932
2011-06-01,1.1980650225677039
2011-07-01,0.6952548160519996
2011-08-01,0.999193494304393
2011-09-01,1.3928171813336405
2011-10-01,0.7086669297983406
2011-11-01,0.6888669633801783
2011-12-01,0.5114374268729307
2012-01-01,-0.6474825638654238
2012-02-01,3.581959231354631
2012-03-01,0.2667874117610154
2012-04-01,0.08313142117560801
2012-05-01,1.0553846104862714
2012-06-01,0.7243024606240169
2012-07-01,0.8046286885539473
2012-08-01,0.5463583815766242
2012-09-01,0.8894076394505817
2012-10-01,0.6759177463778485
2012-11-01,1.3592945265967842
2012-12-01,0.4284840471951554
2013-01-01,2.288424898518201
2013-02-01,-1.3572932903053925
2013-03-01,0.5330492640691205
2013-04-01,1.9406857752308042
2013-05-01,1.2077866899296055
2013-06-01,0.7535640566155166
2013-07-01,1.358340005129321
2013-08-01,1.801583447040116
2013-09-01,0.10689828737119456
2013-10-01,1.93743905828822
2013-11-01,0.9930609084917705
2013-12-01,1.8861809863692827
2014-01-01,0.282970956244327
2014-02-01,2.087338984466271
2014-03-01,1.610986281104175
2014-04-01,1.254421504840053
2014-05-01,0.1429209635979305
2014-06-01,0.8415820116093187
2014-07-01,1.748937862335481
2014-08-01,0.2835897203505624
2014-09-01,1.6599219854759326
2014-10-01,0.6628875861922268
2014-11-01,0.39292669502106037
2014-12-01,1.4220501600787259
2015-01-01,1.2409269346010774
2015-02-01,-0.3075835826403477
2015-03-01,0.8553593462989681
2015-04-01,0.6312722283774121
2015-05-01,0.5070038445693683
2015-06-01,1.6890405157714383
2015-07-01,0.5233862144600039
2015-08-01,1.3064328185526506
