,CDS_premium_AA,CDS_premium_BBB,spread_3y,bond_spread,CD_3mon,CP_3mon,credit_int_rate,deposit_int_rate,credit_deposit_spread,overnight_rate
2006-02-01,0.0046500000000000005,0.03921,0.009425,0.00414,0.042509999999999985,0.044555,0.0576,0.0421,0.015500000000000002,0.03909
2006-03-01,0.0037590909090909094,0.03555454545454545,0.00925909090909091,0.004940909090909091,0.042690909090909085,0.044504545454545456,0.0589,0.0426,0.0163,0.03972272727272727
2006-04-01,0.002875,0.033585,0.009515000000000001,0.0049900000000000005,0.043345,0.04484,0.058300000000000005,0.0437,0.0146,0.039670000000000004
2006-05-01,0.00271,0.032545000000000004,0.007750000000000001,0.004275,0.04360000000000001,0.045,0.0589,0.0435,0.0154,0.039615000000000004
2006-06-01,0.002738095238095238,0.03179523809523809,0.006904761904761905,0.003542857142857143,0.04467619047619048,0.04628095238095238,0.059800000000000006,0.044800000000000006,0.015,0.04154285714285715
2006-07-01,0.00294,0.03162,0.0064,0.0027,0.04625999999999999,0.0481,0.061,0.0446,0.016399999999999998,0.042140000000000004
2006-08-01,0.003240909090909091,0.03168181818181818,0.003527272727272728,0.001636363636363636,0.04676818181818182,0.048640909090909096,0.0616,0.0452,0.016399999999999998,0.04408181818181818
2006-09-01,0.003309523809523809,0.031347619047619055,0.0018857142857142861,0.001995238095238095,0.046361904761904764,0.04784761904761904,0.0613,0.045700000000000005,0.015600000000000001,0.04471428571428573
2006-10-01,0.003047368421052631,0.03102631578947368,0.001210526315789474,0.001731578947368421,0.04573684210526316,0.04753157894736842,0.0609,0.0447,0.016200000000000003,0.04475789473684211
2006-11-01,0.0032636363636363644,0.03118636363636364,0.002245454545454546,0.001809090909090909,0.046036363636363646,0.04754090909090909,0.0604,0.0447,0.015700000000000002,0.04473636363636364
2006-12-01,0.00361,0.031495,0.0031850000000000003,0.001355,0.04755,0.048985,0.061900000000000004,0.046,0.0159,0.044905
2007-01-01,0.003581818181818182,0.03148181818181818,0.0046545454545454555,0.0007636363636363636,0.04917272727272728,0.050704545454545454,0.0632,0.046900000000000004,0.0163,0.04631818181818182
2007-02-01,0.003747368421052631,0.031705263157894736,0.0040789473684210535,0.0009947368421052633,0.04947894736842105,0.051100000000000007,0.0634,0.0479,0.015500000000000002,0.045894736842105266
2007-03-01,0.004028571428571428,0.03190952380952381,0.0029428571428571433,0.001452380952380952,0.049400000000000006,0.051100000000000007,0.0637,0.0479,0.0158,0.045885714285714294
2007-04-01,0.004,0.03172380952380953,0.004390476190476191,0.001338095238095238,0.04953333333333334,0.05119047619047619,0.0635,0.0484,0.0151,0.046638095238095235
2007-05-01,0.00389047619047619,0.0315047619047619,0.005980952380952381,0.001180952380952381,0.050442857142857137,0.05230476190476191,0.06480000000000001,0.048600000000000004,0.016200000000000003,0.04614761904761904
2007-06-01,0.003975,0.03181,0.00741,0.002385,0.05034500000000001,0.052485000000000004,0.06420000000000001,0.0487,0.015500000000000002,0.04532
2007-07-01,0.004019047619047619,0.03159523809523809,0.00690952380952381,0.001776190476190476,0.05049523809523811,0.05258095238095239,0.0641,0.0497,0.0144,0.046552380952380956
2007-08-01,0.00415909090909091,0.031349999999999996,0.0034818181818181823,0.001368181818181818,0.052127272727272723,0.054150000000000004,0.06559999999999999,0.051100000000000007,0.014499999999999999,0.04897272727272728
2007-09-01,0.004558823529411765,0.03152941176470588,0.00391764705882353,0.0012882352941176471,0.05336470588235294,0.056100000000000004,0.067,0.05280000000000001,0.014199999999999999,0.04965294117647059
2007-10-01,0.005563636363636364,0.03174545454545455,0.004240909090909091,0.001386363636363636,0.053427272727272726,0.05701363636363637,0.0679,0.0527,0.0152,0.05003181818181818
2007-11-01,0.006240909090909091,0.03182272727272728,0.005404545454545455,0.0006909090909090909,0.05428181818181819,0.05770454545454547,0.068,0.055,0.013000000000000001,0.05004545454545454
2007-12-01,0.008421052631578947,0.03279473684210526,0.008852631578947369,-0.0006526315789473684,0.05731052631578948,0.06253684210526315,0.0708,0.0584,0.0124,0.04978421052631579
2008-01-01,0.01195454545454546,0.03475909090909091,0.004431818181818182,0.001195454545454545,0.05813181818181817,0.06544545454545454,0.0725,0.0601,0.0124,0.04986363636363637
2008-02-01,0.01214444444444444,0.03483333333333333,0.0005944444444444445,0.002177777777777778,0.05280555555555555,0.058194444444444444,0.069,0.054000000000000006,0.015,0.04970555555555556
2008-03-01,0.00979047619047619,0.033928571428571426,0.0014714285714285719,0.0021285714285714293,0.052528571428571424,0.056280952380952376,0.069,0.0533,0.015700000000000002,0.049695238095238084
2008-04-01,0.00921904761904762,0.03479523809523809,-0.0001523809523809524,0.001861904761904762,0.05383333333333333,0.05828095238095238,0.06910000000000001,0.0545,0.0146,0.04990476190476192
2008-05-01,0.009378947368421053,0.03607368421052632,0.00278421052631579,0.00221578947368421,0.053636842105263156,0.05848421052631579,0.0696,0.053899999999999997,0.015700000000000002,0.04962105263157895
2008-06-01,0.009785,0.037160000000000006,0.007019999999999999,0.00192,0.053625,0.0584,0.0702,0.055,0.0152,0.04886
2008-07-01,0.01027826086956522,0.0387304347826087,0.009630434782608695,0.0006478260869565218,0.05519565217391304,0.05948260869565217,0.0712,0.0567,0.014499999999999999,0.04950869565217391
2008-08-01,0.013405,0.042355000000000004,0.005685,0.0013850000000000002,0.057665,0.061475,0.0731,0.0591,0.013999999999999999,0.05199
2008-09-01,0.01653333333333333,0.04633809523809524,0.005604761904761905,0.0017476190476190482,0.057947619047619046,0.06384285714285715,0.07440000000000001,0.0605,0.0139,0.05175238095238096
2008-10-01,0.02855,0.05985454545454545,0.002054545454545454,0.0044227272727272735,0.06031818181818181,0.0706909090909091,0.0779,0.0631,0.0148,0.0484409090909091
2008-11-01,0.0359,0.070025,0.00923,0.007545,0.056185,0.07346,0.0753,0.059500000000000004,0.0158,0.039985
2008-12-01,0.04379545454545454,0.08328636363636363,0.006068181818181818,0.008977272727272728,0.04678636363636364,0.06928181818181818,0.0689,0.0558,0.0131,0.032081818181818184
2009-01-01,0.03907368421052631,0.08512631578947367,0.008042105263157896,0.009805263157894735,0.03216315789473684,0.05175263157894737,0.0591,0.041600000000000005,0.0175,0.024
2009-02-01,0.032869999999999996,0.08621500000000001,0.015825,0.01455,0.027005,0.035485,0.055700000000000006,0.0323,0.0234,0.01982
