index,bank_int_spread,m1_rate,m2_rate,lf_rate,liquidity,nonbank_deposit,deposit,nonbank_loan_rate,krw_deposit,sup_CD,finan_bonds,comp_loan,simple_loan,mortgage_loan,money_mort_loan
2001-11-01,0.0234,0.254,0.08900000000000001,0.114,0.127,0.06889277622790513,0.12012501220062245,0.0859,0.12012501220062245,0.31825213853645873,0.1980445109209405,0.0678,0.0986,0.060300000000000006,0.06860000000000001
2001-12-01,0.022000000000000002,0.25,0.083,0.113,0.134,0.091987891463692,0.11863274158272032,0.0782,0.11863274158272032,0.41882192579503724,0.24315549513843554,0.0669,0.099,0.061500000000000006,0.062400000000000004
2002-01-01,0.0211,0.256,0.085,0.11599999999999999,0.132,0.05860182900440061,0.14627888150521995,0.0803,0.14627888150521995,0.46605516429500055,0.7177000525642314,0.0669,0.0981,0.06,0.066
2002-02-01,0.0207,0.281,0.08800000000000001,0.11900000000000001,0.134,0.041967203257830224,0.16403398558454108,0.0784,0.16403398558454108,0.4839329004237307,0.7752570903805853,0.0659,0.0866,0.0649,0.0733
2002-03-01,0.0202,0.268,0.111,0.129,0.155,0.05601828428980457,0.16930217818922677,0.07980000000000001,0.16930217818922677,0.560352918122353,0.7990936387732929,0.06570000000000001,0.0926,0.0654,0.07400000000000001
2002-04-01,0.0203,0.289,0.12300000000000001,0.13699999999999998,0.146,0.06782248576836356,0.15046298407484898,0.08320000000000001,0.15046298407484898,0.5863495807234914,0.7843710442817369,0.0658,0.0966,0.0669,0.0741
2002-05-01,0.0194,0.284,0.12400000000000001,0.13699999999999998,0.149,0.0701458054732431,0.14878567966351397,0.0755,0.14878567966351397,0.5330596621740501,0.8268187029123799,0.0646,0.09789999999999999,0.0679,0.0723
2002-06-01,0.0191,0.264,0.125,0.135,0.14300000000000002,0.06607691881377495,0.14611919514978244,0.07780000000000001,0.14611919514978244,0.5840728028141796,0.7524144088683543,0.0647,0.09699999999999999,0.06849999999999999,0.0676
2002-07-01,0.019,0.226,0.115,0.13,0.145,0.04879863421729453,0.13464413295394254,0.0787,0.13464413295394254,0.47199494316041657,0.7725965104742394,0.06480000000000001,0.09789999999999999,0.06860000000000001,0.0669
2002-08-01,0.0191,0.203,0.107,0.12400000000000001,0.14,0.04396092324328573,0.1317800976969825,0.0795,0.1317800976969825,0.5590388525148172,0.7962503209158188,0.0641,0.0866,0.06730000000000001,0.06910000000000001
2002-09-01,0.019,0.18,0.106,0.12400000000000001,0.12300000000000001,0.025810567312677755,0.12314007628561958,0.0795,0.12314007628561958,0.5416152201037829,0.7912483737020314,0.0646,0.09480000000000001,0.067,0.0676
2002-10-01,0.0198,0.16899999999999998,0.11599999999999999,0.125,0.138,0.03584812448611538,0.1371904709147304,0.07780000000000001,0.1371904709147304,0.5352202811069501,0.8725442098616336,0.0644,0.1024,0.0678,0.07150000000000001
2002-11-01,0.0194,0.161,0.133,0.13699999999999998,0.146,0.051719928071426266,0.13010050335802972,0.07400000000000001,0.13010050335802972,0.49540644204262796,0.9038203430358198,0.0641,0.1024,0.0679,0.0695
2002-12-01,0.0189,0.152,0.141,0.133,0.134,0.05249429586023106,0.11746125633127112,0.0734,0.11746125633127112,0.5330378503076991,0.8951434209151874,0.0641,0.0985,0.0679,0.0655
2003-01-01,0.0188,0.13699999999999998,0.139,0.131,0.132,0.07590897304023679,0.08794610121567195,0.077,0.08794610121567195,0.41531344315282437,0.45499512611788634,0.0635,0.09730000000000001,0.0669,0.06849999999999999
2003-02-01,0.0194,0.095,0.133,0.125,0.121,0.0827245278266208,0.06854157645108219,0.0748,0.06854157645108219,0.35167462279331857,0.4534445114087956,0.062400000000000004,0.0692,0.06559999999999999,0.06860000000000001
2003-03-01,0.021800000000000003,0.078,0.11900000000000001,0.11699999999999999,0.096,0.02811690462092374,0.09283381709874507,0.0702,0.09283381709874507,0.16385845746137925,0.3558160568974348,0.0637,0.0743,0.066,0.0679
2003-04-01,0.020800000000000003,0.053,0.10300000000000001,0.102,0.091,0.015347328416053413,0.08703187602195146,0.0759,0.08703187602195146,0.3514099592044831,0.3417168878750051,0.0631,0.0786,0.0649,0.0659
2003-05-01,0.0206,0.052000000000000005,0.091,0.094,0.08,0.009110607908881926,0.09545911639058582,0.07490000000000001,0.09545911639058582,0.3976605625496225,0.26491047960791836,0.0618,0.08310000000000001,0.063,0.0651
2003-06-01,0.0209,0.059000000000000004,0.079,0.091,0.079,0.010178349643292242,0.09879779444152659,0.0766,0.09879779444152659,0.34363209194625277,0.25839536293451965,0.0618,0.0868,0.061500000000000006,0.0638
2003-07-01,0.0211,0.062000000000000006,0.07,0.087,0.081,0.016691474593794886,0.10051140463912417,0.0738,0.10051140463912417,0.4137589071992553,0.23767453857397905,0.061399999999999996,0.08779999999999999,0.060700000000000004,0.0635
2003-08-01,0.0209,0.069,0.067,0.079,0.081,0.011100804677778086,0.09067212272077321,0.0677,0.09067212272077321,0.3583092640562839,0.2296617592931516,0.0599,0.07,0.0581,0.0643
2003-09-01,0.0212,0.068,0.057999999999999996,0.075,0.076,0.010762111458837584,0.05829226567581004,0.0758,0.05829226567581004,0.37492867301361116,0.2827267711859196,0.059500000000000004,0.0772,0.05740000000000001,0.0629
2003-10-01,0.0219,0.053,0.038,0.059000000000000004,0.065,0.005952994016676114,0.056950327518532406,0.0745,0.056950327518532406,0.45007259818606615,0.2338505358587946,0.0599,0.0803,0.0575,0.0626
2003-11-01,0.0219,0.055999999999999994,0.032,0.053,0.064,-0.0254862330271746,0.07609693550720888,0.0726,0.07609693550720888,0.42732793680962594,0.1629424394541413,0.0611,0.08,0.0604,0.0613
2003-12-01,0.020800000000000003,0.054000000000000006,0.03,0.05,0.055999999999999994,-0.018391795689931805,0.0673114025205513,0.0727,0.0673114025205513,0.5063867291340567,0.1476478623333533,0.0618,0.0792,0.06280000000000001,0.059000000000000004
2004-01-01,0.021,0.06,0.024,0.049,0.055999999999999994,-0.035574218221697505,0.07626421922522905,0.0739,0.07626421922522905,0.5941038409967805,0.09433094336928152,0.06230000000000001,0.0716,0.0629,0.0602
2004-02-01,0.0207,0.075,0.026000000000000002,0.051,0.068,-0.037767012628814885,0.09108183715373146,0.06480000000000001,0.09108183715373146,0.5373157545095608,0.07198540120667779,0.0611,0.0484,0.061500000000000006,0.0613
2004-03-01,0.0222,0.083,0.027000000000000003,0.053,0.069,0.010681846944512343,0.043334126804008506,0.0676,0.043334126804008506,0.6133399450933669,0.16385777205846383,0.0613,0.059500000000000004,0.059800000000000006,0.060700000000000004
2004-04-01,0.0212,0.099,0.031000000000000003,0.055,0.076,0.036109701804984184,0.04408604103627403,0.06910000000000001,0.04408604103627403,0.5213660200372758,0.19738275243712916,0.0601,0.0687,0.060300000000000006,0.060300000000000006
2004-05-01,0.0215,0.094,0.039,0.059000000000000004,0.073,0.032897370561948386,0.026589688438022393,0.0817,0.026589688438022393,0.4884394130453767,0.21452144528679962,0.059500000000000004,0.0659,0.0601,0.0593
2004-06-01,0.0223,0.09300000000000001,0.045,0.062000000000000006,0.077,0.04143195928255809,0.01948685406789482,0.0645,0.01948685406789482,0.4675546699592518,0.231120493391721,0.0608,0.0676,0.0599,0.059800000000000006
2004-07-01,0.0212,0.102,0.051,0.063,0.07400000000000001,0.04036558074629917,0.009730362364647393,0.06620000000000001,0.009730362364647393,0.40368441744211786,0.23959485273334735,0.059699999999999996,0.0661,0.0593,0.059500000000000004
2004-08-01,0.0215,0.084,0.055999999999999994,0.067,0.067,0.048440092293493074,0.002815158079635288,0.0666,0.002815158079635288,0.346472317301662,0.21723100599622477,0.058600000000000006,0.046900000000000004,0.057999999999999996,0.0588
2004-09-01,0.0223,0.075,0.062000000000000006,0.068,0.08,0.06010798991038294,0.0398759761857524,0.0853,0.0398759761857524,0.29935623974532344,0.14248127472338878,0.057699999999999994,0.0609,0.0563,0.0592
2004-10-01,0.0223,0.083,0.07,0.073,0.071,0.06678299788421453,0.0067732597475423885,0.0695,0.0067732597475423885,0.2894180913286609,0.1409425272417025,0.057300000000000004,0.065,0.055700000000000006,0.0588
2004-11-01,0.021800000000000003,0.067,0.057999999999999996,0.065,0.062000000000000006,0.10782412354309172,-0.02092560606910467,0.0699,-0.02092560606910467,0.2631362293328736,0.18014144353948328,0.0563,0.0651,0.0547,0.0575
2004-12-01,0.0211,0.081,0.059000000000000004,0.069,0.075,0.11776702492232455,-0.013541781952890864,0.0753,-0.013541781952890864,0.22719742208790863,0.18582844757688924,0.055400000000000005,0.0646,0.0541,0.0567
2005-01-01,0.021800000000000003,0.063,0.063,0.07,0.071,0.12103585066575344,-0.012160021408771675,0.0678,-0.012160021408771675,0.10170796667499142,0.19463003149890923,0.0564,0.061500000000000006,0.0545,0.0575
2005-02-01,0.0207,0.084,0.064,0.068,0.07,0.12369249661970537,-0.017217067260390927,0.0639,-0.017217067260390927,0.16472003418307646,0.18252267076984635,0.0563,0.0421,0.0553,0.056600000000000004
2005-03-01,0.021400000000000002,0.094,0.066,0.064,0.066,0.10989380821494923,-0.018751671013390644,0.0637,-0.018751671013390644,0.21825740157445683,0.09876121753286986,0.0565,0.0584,0.05480000000000001,0.0565
2005-04-01,0.0209,0.095,0.069,0.066,0.078,0.11350495933080451,-0.008351460007213107,0.0608,-0.008351460007213107,0.21579003429424312,0.08836778975569332,0.056600000000000004,0.0625,0.053200000000000004,0.0556
2005-05-01,0.0203,0.095,0.07,0.066,0.077,0.11939984528495422,0.003393045776296716,0.058499999999999996,0.003393045776296716,0.15747835721537756,0.08746339547797445,0.055700000000000006,0.0622,0.051500000000000004,0.0555
2005-06-01,0.0206,0.10800000000000001,0.07400000000000001,0.07200000000000001,0.081,0.11816616881617985,0.012663546046685103,0.0621,0.012663546046685103,0.24779782732801994,0.06918053852169007,0.055999999999999994,0.0625,0.0513,0.05480000000000001
2005-07-01,0.0204,0.133,0.079,0.075,0.087,0.1179944679018362,0.01272046269369951,0.05940000000000001,0.01272046269369951,0.331560020757696,0.029042054729601804,0.0558,0.0613,0.0518,0.055099999999999996
