,export,import,exp_price_index,imp_price_idx,dollar,bis_rate,finance_balance,capital_balance,current_balance
2001-01-01,0.03967169376172941,-0.012989670274370257,-0.10991395435839879,0.08346560846560847,-0.004349545274812128,0.006445672191528695,-2.362113577556857,-0.8987341772151899,2.0852819807427787
2001-02-01,0.05348925161339779,0.058934340415041975,-0.10196738880808387,0.06994204425711281,-0.006513105639396444,0.010978956999085021,-0.6118594436310395,-2.1111111111111107,0.6433199629743906
2001-03-01,-0.02112392749871561,-0.08866619931549458,-0.11219135802469138,0.07722720084343715,0.061320754716981174,-0.031975867269984914,-5.331015644400297,-3.0,4.482746095168907
2001-04-01,-0.1036034503669564,-0.1597912912944418,-0.11947005500890984,0.1325121819166215,-0.005875706214689247,0.006751843772722532,15.958057395143491,-0.5,-0.2671280276816608
2001-05-01,-0.09085319799368108,-0.1301269046768001,-0.13066066997518622,0.09395706334481857,-0.02803667500189444,0.030643829962855973,0.5535578627500632,0.0,-0.2453272549658092
2001-06-01,-0.15205613555623454,-0.1106844077003617,-0.1624512875372507,0.0662579887830963,0.011538161690184845,-0.004605065572129252,0.2910533274570295,-0.38235294117647056,-0.4003693281744636
2001-07-01,-0.21191698252919133,-0.18756109256696019,-0.19762191450933164,0.05340894105235394,0.0019267822736031004,-0.00321834456401493,-16.677135678391963,5.0,-1.073490813648294
2001-08-01,-0.20428163344802974,-0.1564832414871984,-0.2096161013790534,0.0421662933192779,-0.01692307692307682,-0.006659267480577102,-2.158117590128236,18.823529411764707,-1.2280041081821294
2001-09-01,-0.17749208554150397,-0.11903155651644859,-0.2057301432535813,0.010933882171340503,0.024726134585289383,-0.012290502793296243,-0.44493673262493905,-3.1171875,-0.8478841557711233
2001-10-01,-0.2073731570452073,-0.18415264886829552,-0.19708255741775282,-0.023660314618237588,-0.010308491142333676,0.015220074043603482,-0.3354367866549606,-1.008849557522124,-0.8152613758361549
2001-11-01,-0.17613510059464665,-0.18556281318814172,-0.17788033357622868,-0.08207070707070696,-0.0178226988658281,0.02613452188006482,-1.0545815415150512,-1.0113636363636365,-1.1318210999358014
2001-12-01,-0.2044584352008857,-0.14222399482084125,-0.16695709899593403,-0.08492595873940012,0.03181461115475259,-0.02497532082922005,-0.7336789438784737,-1.086021505376344,-0.9610030994646379
2002-01-01,-0.09988589101607448,-0.08885777139982765,-0.15063887020847322,-0.10560371139055047,0.0006851922344881523,0.01316189126252909,-1.32623475304939,-1.25,0.060781691187397735
2002-02-01,-0.17455624403459202,-0.17758806018539686,-0.12530901031455122,-0.09109934753170024,0.007151552038952902,-0.008593984211052175,0.882308562806488,-0.6,-1.5242208036049567
2002-03-01,-0.06184599937797741,-0.0742586060439383,-0.0843907526507911,-0.05945681428920979,0.0015863423477866512,-0.004233444209252979,-1.107275958947308,-0.1499999999999999,-0.5133165496223666
2002-04-01,0.0877332191523712,0.1201820304183161,-0.06977562692476913,-0.06561491574040867,-0.024059129647786448,0.01153962951715748,-0.4320489455870866,-4.333333333333334,-0.019475920679886793
2002-05-01,0.0650951130156785,0.09894274552105209,-0.060654714120060516,-0.08261659600242266,-0.05231839258114368,0.04373061142799939,0.07131214343928272,2.3333333333333335,-0.4617707973765963
2002-06-01,-0.0029270934657062986,0.018368088106066827,-0.049448043061764424,-0.10617737003058114,-0.020386528581913033,-0.0008628954937678346,-0.931248719874377,-0.9047619047619048,-0.595835166446693
2002-07-01,0.1758143272224284,0.1732341132583166,-0.01050459576064533,-0.1025287931897847,-0.011071339382335732,0.0204394971691777,-1.5084542030611425,-0.8333333333333334,0.4833333333333334
2002-08-01,0.1863744871747801,0.1343224882794991,-0.0030180137696879106,-0.08218485269945619,0.011700336700336766,-0.01890163626104968,-2.593753264389429,-1.0623145400593472,2.0521771771771777
2002-09-01,0.11676718626429272,0.10947355512231405,0.0012275731822473102,-0.054714340246850623,0.021549213744903817,-0.012077063164957269,-0.11377934113508759,-0.8560885608856088,4.023105360443622
2002-10-01,0.2481072358925529,0.20076477698045814,0.01710475454194027,-0.004322766570605152,-0.0050496823586904105,0.0010672358591250486,0.2522500206423912,-28.000000000000004,2.917746982565936
2002-11-01,0.23059370067148133,0.21336242608129474,0.03309040772109517,0.001237964236588729,-0.01047806155861164,0.018414421399495895,-5.963636363636364,56.99999999999999,-6.724025974025975
2002-12-01,0.261173554312772,0.27870533583649837,0.0548859448152208,0.028769017980636358,-0.018696227663798748,-0.008850399695469968,0.24354911724762318,-0.1250000000000001,14.68208092485549
2003-01-01,0.2581341797782246,0.2797471930696611,0.06848772763262034,0.024433524433524312,-0.013572753329961329,0.008737397983677342,0.9304321176831134,-5.0,2.0721490613617264
2003-02-01,0.20993379592212214,0.3234706256545954,0.06724490790371318,0.05201137748882578,0.020169216306298754,-0.02046449647820303,-1.0861723446893787,2.0,-3.651146131805158
2003-03-01,0.16055204450151872,0.3236103928099998,0.030374940673943973,0.028355879292403907,0.05101784367931628,-0.05033524438830028,-4.400855157669695,-3.4117647058823524,-1.1954805336237408
2003-04-01,0.19235097728899642,0.17508791614064534,-0.003499810821036786,-0.0349194167306216,-0.031324725011955934,0.025580681469354216,0.30850332340132924,30.3,0.2136752136752138
2003-05-01,0.0354835757713321,0.06501294957411341,-9.495774380419153e-05,-0.025221180509705676,-0.007734715708055617,-0.0077821011673151474,0.4951692658805631,-3.1,-1.0822510822510822
2003-06-01,0.21422523252516945,0.1251795152779558,0.015068624628083338,0.012864376625154161,-0.010697404428227975,0.018300653594771177,19.717974180734856,-2.5,0.9903846153846152
