,consumption,construction,facility,production,labor,consumer_expectation,business_expectation,current_balance,monetary_market,credit_premium
2001-01-01,,0.008810355629193174,-0.009701242676041262,0.028882264318269017,0.050847,,,-1.3348269829281854,,0.020963595023065152
2001-02-01,,0.02402160693191902,-0.0040915788226980315,0.048751791827246475,0.05377099999999989,,,-0.17094165893241844,,0.013271971268401541
2001-03-01,,0.013044362483132375,-0.015320015805609854,0.026200642094983382,0.05093500000000005,,,-0.8447697783657085,,0.013151771252836873
2001-04-01,,0.0031816163618591715,-0.03191175446157649,0.056013728965155496,0.041000999999999455,,,0.4475996997389228,,0.013112170326468135
2001-05-01,,0.004791311013568841,-0.027534707377672107,0.048893572071133914,0.036999999999999617,,,0.1836218429040536,,0.012668073543850687
2001-06-01,,-0.0013445767366528146,-0.04002029125735836,0.026138672494517904,0.03599900000000062,,,0.1975341862389917,,0.012172780171681908
2001-07-01,,0.022428119678717176,-0.03210065845596959,0.010068689004990777,0.03600000000000063,,,-1.6700842097977697,,0.012078388417344032
2001-08-01,,0.035458630951773165,-0.07183708764707566,0.03623148877269173,0.03600000000000063,,,-1.7654749154419922,,0.012833396479400181
2001-09-01,,0.0591401017476666,-0.01624138639427544,0.07771853562696945,0.03300000000000056,,,-0.15258069876801963,0.10671777947609068,0.013144714039175612
2001-10-01,,0.017988322736051495,-0.017597130770861075,0.034544811995227936,0.03300000000000056,,,0.08746172828640192,0.12065953494646886,0.014557450065979895
2001-11-01,,0.033369684869452076,-0.003100017676064347,0.07054967126036094,0.03399999999999956,,,-1.0724848630284811,0.10431102252030959,0.013544259100064099
2001-12-01,,0.03822400995902487,0.025131801894492035,0.06642010428459118,0.036999999999999617,,,-0.2694530468007989,0.10797258887774668,0.01123413542048103
2002-01-01,,0.03800021729117818,0.016338221820982934,0.10462718258068093,0.04099999999999946,,,-1.3687709846602234,0.10854593642425849,0.00983074413403277
2002-02-01,,0.04397876864619232,-0.010345916906965522,0.06197530067720162,0.040963999999999445,,,0.21951367885327244,0.1196327379339699,0.009837778267385053
2002-03-01,,0.02886703102769739,0.011999662362817536,0.08731455823139958,0.03799999999999966,,,-1.0609874562209345,0.1269436304942613,0.008223762245550588
2002-04-01,,0.017970576843963495,0.035811158224438276,0.10038769654217872,0.03399999999999956,,,-0.07685043527221883,0.13432971185619996,0.007404482137462424
2002-05-01,,0.0041732050982801455,0.03807560033758346,0.08115820384578207,0.031009999999999552,,,0.07421659049263948,0.1355642799934547,0.007275018480203121
2002-06-01,,0.01939733182544465,0.023327969112802164,0.06375017326698908,0.029039999999999927,,,-0.4311571888578721,0.13402432053085908,0.008027565271093216
2002-07-01,,0.007544921837504501,0.026959704286473315,0.10423053351949814,0.02999900000000038,,,-1.7630003113686572,0.1301448855254216,0.008588244522548895
2002-08-01,,-0.0012785726990995458,0.027291856844931402,0.07178656296596327,0.03200000000000002,,,-1.6293496259815172,0.1245870280230469,0.008338063753362253
2002-09-01,,0.009233275385861285,0.040123274312634835,0.050250477902477136,0.027019000000000147,,,0.11519884823296998,0.12541187466259124,0.0073363265399641895
2002-10-01,,0.03484442450347774,0.024264533632982723,0.10509816552298291,0.028340999999999644,,,0.5446347984316539,0.1285581915111033,0.006764576653000248
2002-11-01,,0.026694453849992104,0.04787040337931739,0.06932572173154378,0.028894999999999865,,,-3.234272034905107,0.1343452814225808,0.0061501203605479225
2002-12-01,,0.024034353334497938,0.04506750684661093,0.07917208699665572,0.031000999999999543,,,1.652984437445625,0.13284921672616543,0.006087868428034223
2003-01-01,0.004187129264394708,0.021678468623213695,-0.023275650181676,0.04117108111478774,0.036999999999999617,1.0547099013789802,0.8227074862247344,0.7756584471623085,0.12874929334362736,0.006147915004788988
2003-02-01,0.00031490108029959615,0.018955136552773155,0.043781185844204484,0.04407305620746282,0.038138999999999784,1.03942943168683,0.7397522995904326,-1.4707937088432002,0.122837233595107,0.006311802758676386
2003-03-01,0.001518686514934833,0.027798530032787698,0.020483075125230885,0.029833950078838566,0.036999999999999617,0.9377842138337907,0.7315582882736639,-1.490606882446659,0.11615259429392003,0.006598241199485563
2003-04-01,-0.004305370463031136,0.014049103274218374,-0.003337271896381474,0.020992524777256768,0.034986999999999824,0.9419054465271661,0.7673660729593222,0.19495931692938206,0.10746263483535315,0.006941057010377378
2003-05-01,-0.004345221023313071,0.029443471661042213,-0.016203354331813902,0.0010478852515221997,0.03399999999999956,0.912921867328157,0.7418185409117929,0.32955122835550965,0.0913128521665749,0.007702741663628795
2003-06-01,-0.004302987032198272,0.02895093770891557,0.010934679095731488,0.04532134404609752,0.03399999999999956,0.855404494915225,0.7114285015514709,0.5758001815491897,0.08979981373829152,0.008775172360992622
2003-07-01,-0.0026017253237309015,0.027179127175510402,-0.018227091216268882,0.011621404907965753,0.035981000000000596,0.8618986816198544,0.6718893183403648,-3.0253701323898152,0.08444579876392891,0.008763762189209174
2003-08-01,-0.0035670728119278072,0.025789447631020014,-0.006058755494117024,0.021676647822059854,0.03499999999999983,0.9243282212520334,0.6963013188162155,-0.27956394090535586,0.07210425975776359,0.008631099005860853
2003-09-01,-0.002735590382776315,0.01911257942119788,-0.014118759307784388,0.028468339195333436,0.03300000000000056,0.9245879728025999,0.7293059996148124,0.2236143209166563,0.07449697881911028,0.007655994929841293
2003-10-01,-0.0017748491471725283,0.027122952732314975,0.01246809049016797,0.029702148432836088,0.03435799999999966,0.9169593460111961,0.7770429341547523,1.8208199817874522,0.0639052054207073,0.007520832842410972
2003-11-01,-0.001257484173029443,0.014168117538306116,-0.03936265124837912,0.02555693131013749,0.03512999999999991,0.9451602764689704,0.83202540978871,1.0071014829543623,0.05613414324525049,0.007154071618984869
2003-12-01,-0.0013178147981333583,0.023976523877571168,-0.017125550622014252,0.048531026571436375,0.03799999999999966,0.9442837246404322,0.8208885031797356,0.6286818646966862,0.058659519561777305,0.007297922105859987
2004-01-01,-5.250274339535681e-05,0.016362553084490805,0.006950471722258905,0.02688097065568287,0.03999899999999933,0.9479948821770865,0.7930427311159022,-5.7507948100605395,0.05712883808820191,0.0073849683999469605
2004-02-01,0.002198374643477291,0.00878190802282227,0.006079155937484814,0.07148070350686428,0.041000999999999455,0.9444836133194406,0.7703638285440497,-7.428381304023559,0.05810785914298156,0.007284342614959673
