Date,Y3RR,Y5RR,Y10RR,spread,Label,pred0,pred1,pred2
2004-04-30,0.0422,0.0449,0.0493,0.007099999999999995,1,0.26119135612110894,0.7388086438788909,0.645434266761441
2004-05-31,0.042699999999999995,0.0458,0.0497,0.007000000000000006,1,0.2492194677516547,0.7507805322483448,0.6460389328491541
2004-06-30,0.041100000000000005,0.0433,0.0468,0.005699999999999997,1,0.13480571767386904,0.8651942823261309,0.6187162498613501
2004-07-31,0.0356,0.0373,0.040999999999999995,0.005399999999999995,1,0.11741349812312041,0.8825865018768798,0.6064230762088457
2004-08-31,0.0356,0.0368,0.0401,0.004499999999999997,1,0.07913734121658197,0.9208626587834177,0.5652919668596678
2004-09-30,0.0348,0.0356,0.0395,0.004700000000000003,1,0.0861296343111604,0.9138703656888397,0.574614095611809
2004-10-31,0.033100000000000004,0.0345,0.0393,0.006199999999999997,1,0.17051620190279815,0.8294837980972019,0.6354695984955561
2004-11-30,0.0327,0.0338,0.0381,0.005400000000000002,1,0.11741349812312082,0.8825865018768789,0.6064230762088463
2004-12-31,0.040999999999999995,0.0431,0.048600000000000004,0.0076000000000000095,1,0.3286050093192281,0.6713949906807721,0.6343828089115029
2005-01-31,0.041600000000000005,0.0442,0.047599999999999996,0.0059999999999999915,1,0.15513320871708605,0.8448667912829138,0.6294614715774862
2005-02-28,0.039,0.042,0.0472,0.008199999999999999,1,0.4251991321377351,0.5748008678622646,0.601406386060644
2005-03-31,0.0376,0.04,0.045899999999999996,0.008299999999999995,1,0.44269787697898566,0.5573021230210148,0.5937171784693622
2005-04-30,0.0368,0.0382,0.04360000000000001,0.006800000000000007,1,0.22675881395972933,0.773241186040271,0.6458168239382525
2005-05-31,0.0396,0.0418,0.04730000000000001,0.0077000000000000055,1,0.3435799177952688,0.6564200822047315,0.630438404101198
2005-06-30,0.042300000000000004,0.045,0.050199999999999995,0.00789999999999999,1,0.3749407999969912,0.6250592000030086,0.620706263224093
2005-07-31,0.0422,0.0446,0.046200000000000005,0.0040000000000000036,1,0.06459644438465731,0.9354035556153424,0.542534070355085
2005-08-31,0.0461,0.0483,0.0512,0.0051,1,0.10256893715351156,0.8974310628464881,0.5931207606478468
2005-09-30,0.0496,0.052199999999999996,0.05480000000000001,0.00520000000000001,1,0.10725675793755013,0.8927432420624503,0.5976365994015792
2005-10-31,0.050800000000000005,0.0536,0.056900000000000006,0.006100000000000001,1,0.16263142517291057,0.8373685748270894,0.6325966636807743
2005-11-30,0.0509,0.0525,0.0559,0.0049999999999999975,1,0.09812433967357043,0.9018756603264294,0.5885454393167515
2005-12-31,0.0492,0.0513,0.0546,0.005400000000000002,1,0.11741349812312082,0.8825865018768789,0.6064230762088463
2006-01-31,0.049400000000000006,0.0501,0.0525,0.0030999999999999917,1,0.04639132333758566,0.953608676662414,0.5062975934603461
2006-02-28,0.0492,0.0513,0.0541,0.004900000000000002,1,0.09391069761382044,0.9060893023861797,0.58392622061534
2006-03-31,0.0483,0.0497,0.0524,0.0040999999999999995,1,0.06720388867651643,0.932796111323484,0.546983970333686
2006-04-30,0.04730000000000001,0.049100000000000005,0.051500000000000004,0.004199999999999995,1,0.0699534446314185,0.930046555368581,0.5514936150993909
2006-05-31,0.049400000000000006,0.0514,0.052000000000000005,0.002599999999999998,1,0.03940367012183393,0.9605963298781658,0.48998786902235286
2006-06-30,0.0483,0.0496,0.050499999999999996,0.0021999999999999936,1,0.03496690403911709,0.9650330959608829,0.4792457051574292
2006-07-31,0.047599999999999996,0.048,0.0496,0.0020000000000000018,1,0.03306465376913607,0.9669353462308642,0.4746834515908435
2006-08-31,0.045599999999999995,0.04650000000000001,0.0472,0.0016000000000000042,1,0.02979325064041468,0.9702067493595858,0.4672247208805408
2006-09-30,0.047,0.046900000000000004,0.049100000000000005,0.0021000000000000046,1,0.0339916547489309,0.9660083452510692,0.47689603351445614
2006-10-31,0.0481,0.0487,0.0496,0.0015000000000000013,1,0.02907421818394279,0.9709257818160577,0.4657122031639197
2006-11-30,0.0492,0.0499,0.050499999999999996,0.0012999999999999956,1,0.027741911504871375,0.9722580884951282,0.4631145805213539
2006-12-31,0.0501,0.05,0.0504,0.00030000000000000165,1,0.022824999382311167,0.9771750006176887,0.45879855218844406
2007-01-31,0.048600000000000004,0.0489,0.0492,0.0005999999999999964,1,0.024033246478020236,0.9759667535219796,0.4585630800334033
2007-02-28,0.047400000000000005,0.048,0.0493,0.001899999999999992,1,0.03218350481338249,0.9678164951866173,0.47260907994524165
2007-03-31,0.050499999999999996,0.0504,0.051500000000000004,0.0010000000000000078,1,0.025984236397798056,0.9740157636022023,0.46029472640820623
2007-04-30,0.0518,0.052300000000000006,0.053200000000000004,0.0014000000000000054,1,0.02839099516880171,0.9716090048311978,0.46434196099307284
2007-05-31,0.0527,0.0534,0.0552,0.0025000000000000022,1,0.0382083742455445,0.9617916257544556,0.487103954305639
2007-06-30,0.052199999999999996,0.05280000000000001,0.0538,0.0016000000000000042,1,0.02979325064041468,0.9702067493595858,0.4672247208805408
2007-07-31,0.0542,0.0543,0.0555,0.0013000000000000025,1,0.027741911504871427,0.9722580884951282,0.4631145805213539
2007-08-31,0.0547,0.055400000000000005,0.055999999999999994,0.0012999999999999956,1,0.027741911504871375,0.9722580884951282,0.4631145805213539
2007-09-30,0.0547,0.0555,0.055999999999999994,0.0012999999999999956,1,0.027741911504871375,0.9722580884951282,0.4631145805213539
2007-10-31,0.0543,0.055,0.055999999999999994,0.0016999999999999932,1,0.030549866724506727,0.9694501332754933,0.4688788662261083
2007-11-30,0.0576,0.0588,0.05740000000000001,-0.00019999999999999185,1,0.021225724222498767,0.9787742757775013,0.4621405020211844
2007-12-31,0.0579,0.05740000000000001,0.05740000000000001,-0.0004999999999999935,1,0.020484257834313888,0.9795157421656862,0.4659299790412339
2008-01-31,0.0504,0.0517,0.0524,0.0020000000000000018,1,0.03306465376913607,0.9669353462308642,0.4746834515908435
2008-02-29,0.049100000000000005,0.050199999999999995,0.0519,0.002799999999999997,1,0.041985578870193704,0.9580144211298058,0.4961410018240239
2008-03-31,0.050800000000000005,0.0514,0.053099999999999994,0.0022999999999999896,1,0.03599294565814565,0.964007054341854,0.481731212263461
2008-04-30,0.0489,0.0497,0.0516,0.002700000000000001,1,0.04066159641712599,0.9593384035828736,0.49300094281363765
2008-05-31,0.055099999999999996,0.0558,0.057800000000000004,0.002700000000000008,1,0.04066159641712606,0.9593384035828736,0.49300094281363765
2008-06-30,0.0587,0.059800000000000006,0.0601,0.0013999999999999985,1,0.028390995168801687,0.9716090048311987,0.4643419609930724
2008-07-31,0.0572,0.0582,0.059000000000000004,0.001800000000000003,1,0.031345950955848696,0.9686540490441518,0.47067391976676265
2008-08-31,0.0589,0.059699999999999996,0.0608,0.001899999999999999,1,0.03218350481338255,0.9678164951866173,0.4726090799452425
2008-09-30,0.0575,0.0579,0.0584,0.000899999999999998,1,0.02545689307677952,0.9745431069232208,0.4596437151182605
2008-10-31,0.0471,0.0467,0.055,0.007899999999999997,1,0.37494079999699254,0.6250592000030075,0.6207062632240924
2008-11-30,0.046950000000000006,0.0489,0.0571,0.010149999999999992,0,0.7706305125605796,0.2293694874394206,0.3668275013287698
2008-12-31,0.0338,0.0378,0.042300000000000004,0.008500000000000008,1,0.4785969135957124,0.5214030864042877,0.5764944461259958
2009-01-31,0.0376,0.0401,0.0493,0.011699999999999995,0,0.9309466507362875,0.06905334926371248,0.17130359932820927
2009-02-28,0.038700000000000005,0.04650000000000001,0.051,0.012299999999999991,0,0.9602097291069353,0.03979027089306462,0.11895301325633567
2009-03-31,0.038900000000000004,0.0455,0.051100000000000007,0.012200000000000003,0,0.9562603678196302,0.043739632180369706,0.12668537312479805
2009-04-30,0.0359,0.0437,0.04820000000000001,0.012300000000000005,0,0.960209729106936,0.03979027089306409,0.11895301325633473
2009-05-31,0.03815,0.0467,0.051500000000000004,0.01335,0,0.9861012773914468,0.013898722608553033,0.05876159244191267
2009-06-30,0.04070000000000001,0.045599999999999995,0.051,0.01029999999999999,0,0.792344660064993,0.20765533993500682,0.34536329192184634
2009-07-31,0.043,0.0481,0.053700000000000005,0.010700000000000008,0,0.8436965034603499,0.15630349653965037,0.2897016948374011
2009-08-31,0.0435,0.049,0.0545,0.011000000000000003,0,0.8758137825129378,0.12418621748706228,0.25049711796396257
2009-09-30,0.044000000000000004,0.0488,0.053200000000000004,0.0092,0,0.6087214233268674,0.3912785766731325,0.4988299956053867
2009-10-31,0.0452,0.049400000000000006,0.054400000000000004,0.009200000000000007,0,0.6087214233268688,0.39127857667313126,0.49882999560538605
2009-11-30,0.04095,0.0461,0.0526,0.01165,0,0.927836614128763,0.07216338587123716,0.17632247770505952
2009-12-31,0.0447,0.04915,0.0541,0.009400000000000006,0,0.6453987962760583,0.35460120372394166,0.4726495628477361
2010-01-31,0.042800000000000005,0.04820000000000001,0.0534,0.010599999999999998,0,0.8317726187683101,0.16822738123169,0.30331749465026153
2010-02-28,0.040999999999999995,0.046200000000000005,0.0514,0.010400000000000006,0,0.8060904844643877,0.19390951553561253,0.33118433377716533
2010-03-31,0.0388,0.0451,0.0492,0.0104,0,0.8060904844643866,0.19390951553561347,0.3311843337771666
2010-04-30,0.0362,0.042800000000000005,0.0483,0.0121,0,0.951970088244236,0.048029911755763766,0.13480734612311995
2010-05-31,0.0358,0.04360000000000001,0.0492,0.013400000000000002,0,0.9868124554563223,0.013187544543677432,0.05672193350215902
2010-06-30,0.0388,0.0443,0.049400000000000006,0.010600000000000005,0,0.8317726187683104,0.16822738123168948,0.3033174946502604
2010-07-31,0.0381,0.0438,0.0484,0.010299999999999997,0,0.7923446600649942,0.2076553399350058,0.3453632919218454
2010-08-31,0.0354,0.04,0.0437,0.008300000000000002,1,0.4426978769789868,0.5573021230210132,0.5937171784693622
2010-09-30,0.0332,0.0374,0.0412,0.008,1,0.39128947668285413,0.6087105233171459,0.6149029513986852
2010-10-31,0.033,0.0385,0.0438,0.010799999999999997,0,0.8550079139102964,0.1449920860897038,0.27634101768708624
2010-11-30,0.032,0.0393,0.0435,0.011499999999999996,0,0.9177947944079846,0.08220520559201537,0.19198630626798413
2010-12-31,0.034,0.0408,0.045,0.010999999999999996,0,0.8758137825129371,0.12418621748706306,0.25049711796396346
2011-01-31,0.04,0.0441,0.047400000000000005,0.007400000000000004,1,0.3001301805041451,0.6998698194958549,0.6404879228541503
2011-02-28,0.03815,0.0426,0.0468,0.008649999999999998,0,0.5061389263990332,0.4938610736009666,0.5620174598117891
2011-03-31,0.03705,0.041100000000000005,0.0444,0.007350000000000002,1,0.2933244245302964,0.7066755754697035,0.6416537325639269
2011-04-30,0.0378,0.0408,0.0447,0.006899999999999996,1,0.23774443240393997,0.7622555675960595,0.6461585426186558
2011-05-31,0.036000000000000004,0.0386,0.0424,0.006399999999999996,1,0.18750550277905398,0.8124944972209464,0.6403312139974722
2011-06-30,0.037700000000000004,0.0401,0.043,0.005299999999999992,1,0.1122005445068378,0.8877994554931625,0.6020764890530106
2011-07-31,0.0385,0.0402,0.042,0.003500000000000003,1,0.05343776292614985,0.9465622370738502,0.5214378871500204
2011-08-31,0.0349,0.0362,0.038700000000000005,0.0038000000000000048,1,0.0597777987822998,0.9402222012177,0.5338446277499495
2011-09-30,0.0355,0.0356,0.0396,0.004100000000000006,1,0.06720388867651654,0.9327961113234832,0.5469839703336864
2011-10-31,0.0351,0.0363,0.0382,0.0030999999999999986,1,0.046391323337585784,0.953608676662414,0.5062975934603456
2011-11-30,0.0337,0.03485,0.038,0.004299999999999998,1,0.07285315124595453,0.9271468487540451,0.5560544367323461
2011-12-31,0.0332,0.0346,0.037700000000000004,0.004500000000000004,1,0.07913734121658218,0.9208626587834177,0.5652919668596682
2012-01-31,0.0338,0.03485,0.0375,0.003700000000000002,1,0.05755253617668375,0.9424474638233163,0.5296191688042883
2012-02-29,0.0345,0.0355,0.0384,0.0038999999999999937,1,0.06212348868131564,0.9378765113186847,0.5381518469087297
2012-03-31,0.0356,0.0369,0.039700000000000006,0.004100000000000006,1,0.06720388867651654,0.9327961113234832,0.5469839703336864
2012-04-30,0.0345,0.0356,0.0381,0.003599999999999999,1,0.05544123042318567,0.9445587695768142,0.5254816860809174
2012-05-31,0.033100000000000004,0.034,0.0366,0.003499999999999996,1,0.05343776292614976,0.9465622370738502,0.5214378871500198
2012-06-30,0.033,0.0337,0.0359,0.0029,1,0.043379251879015084,0.9566207481209845,0.49940563047938524
2012-07-31,0.0282,0.0294,0.031000000000000003,0.002800000000000004,1,0.041985578870193815,0.9580144211298058,0.4961410018240235
2012-08-31,0.02765,0.0285,0.029900000000000003,0.002250000000000002,1,0.035473410796848195,0.964526589203152,0.4804715633034535
2012-09-30,0.027850000000000003,0.0286,0.0301,0.002249999999999995,1,0.03547341079684817,0.964526589203152,0.4804715633034531
2012-10-31,0.027700000000000002,0.028399999999999998,0.0296,0.001899999999999999,1,0.03218350481338255,0.9678164951866173,0.4726090799452425
2012-11-30,0.028399999999999998,0.0291,0.0304,0.0020000000000000018,1,0.03306465376913607,0.9669353462308642,0.4746834515908435
2012-12-31,0.0285,0.0296,0.0319,0.0033999999999999968,1,0.0515363508286594,0.9484636491713406,0.5174930020241167
2013-01-31,0.0276,0.028900000000000002,0.031000000000000003,0.0034000000000000037,1,0.0515363508286595,0.9484636491713406,0.5174930020241172
2013-02-28,0.0263,0.027400000000000004,0.0294,0.0030999999999999986,1,0.046391323337585784,0.953608676662414,0.5062975934603456
