,production_idx,mine_prod_idx,const_prod_idx,service_idx,admin_prod_idx,gen_machine_idx,elec_machine_idx,prec_machine_idx,other_device_idx,vehicle_idx,other_vehicle_idx
2001-01-31,0.025390625,-0.04231625835189312,0.062374245472836876,0.05410447761194037,0.03881987577639756,-0.030674846625766916,-0.04474708171206221,0.08752735229759301,-0.12528473804100226,-0.15945611866501852,0.2265625
2001-02-28,0.049689440993788914,0.05528846153846145,0.09730848861283659,0.04826254826254828,-0.018975332068311257,0.026365348399246757,-0.1368613138686131,0.10879629629629606,-0.021164021164021163,0.06000000000000005,-0.18085106382978722
2001-03-31,0.025688073394495525,0.01476793248945163,0.02694136291600646,0.03690685413005279,-0.023026315789473673,-0.04057971014492756,-0.1399999999999999,0.08152173913043481,-0.07805429864253399,-0.07351351351351343,0.09976247030878849
2001-04-30,0.05681818181818166,0.044642857142857206,0.057949479940564874,0.06776556776556752,0.023064250411861442,-0.22615803814713908,-0.13003095975232182,-0.062962962962963,-0.06249999999999989,0.22946175637393784,-0.05599999999999994
2001-05-31,0.04528985507246386,0.016949152542372836,0.023383768913342484,0.06842105263157872,-0.0033167495854062867,-0.20575539568345325,-0.10142348754448405,-0.08061420345489445,-0.054147465437788034,0.06400966183574885,0.49731182795698925
2001-06-30,0.02166064981949467,0.010775862068965525,-0.03875968992248047,0.04385964912280693,-0.01620745542949742,-0.27417027417027406,0.02586206896551735,-0.15217391304347838,-0.02564102564102566,-0.01904761904761898,-0.19393939393939386
2001-07-31,0.0072727272727273196,-0.04051172707889117,-0.06395348837209291,0.039007092198581894,0.024890190336749773,-0.1377551020408163,-0.16295025728987989,-0.10047846889952161,-0.11832946635730868,0.024618991793669665,0.7808641975308643
2001-08-31,0.03339517625231925,-0.03609341825902335,0.09720176730485997,0.063176895306859,-0.008445945945945943,-0.3348348348348348,-0.27439024390243894,-0.1526032315978456,-0.026378896882494063,0.014193548387096744,0.03853955375253548
2001-09-30,0.0842490842490844,0.04357298474945526,0.2566371681415931,0.08170515097690956,0.03730272596843598,-0.19927536231884058,-0.1336717428087988,-0.2062391681109187,0.00796359499431154,0.15549597855227892,0.6681922196796339
2001-10-31,0.032315978456014305,-0.030487804878048808,0.07593123209169073,0.06140350877192957,-0.012882447665056418,-0.22309197651663404,-0.11755725190839705,-0.15602836879432613,-0.004566210045662156,0.23363095238095233,0.02242990654205612
2001-11-30,0.07374100719424459,0.024844720496894457,0.16550764951321262,0.08202443280977323,0.06500000000000017,-0.15876288659793814,-0.08974358974358987,-0.058931860036832484,0.15725806451612878,0.3112582781456954,0.7933333333333334
2001-12-31,0.06949152542372894,0.014799154334038,0.18789407313997475,0.07973421926910285,0.03976608187134523,-0.09394572025052195,0.14583333333333326,-0.06024096385542177,0.08787128712871306,0.17348608837970558,0.2727272727272727
2002-01-31,0.10666666666666669,0.13953488372093026,0.19696969696969702,0.09734513274336276,-0.01644245142002987,-0.20253164556962022,0.2240325865580446,-0.06841046277666007,0.14973958333333326,0.2176470588235293,-0.17038216560509556
2002-02-28,0.06508875739644981,-0.009111617312072884,0.1924528301886792,0.08103130755064458,0.07930367504835578,-0.26055045871559646,0.20295983086680747,-0.014613778705636626,0.11891891891891881,-0.02767295597484276,0.02226345083487935
2002-03-31,0.09481216457960628,0.06860706860706856,0.07870370370370372,0.12033898305084745,0.0016835016835017313,-0.10422960725075536,0.1896243291592128,-0.15410385259631498,0.10797546012269943,0.06534422403733942,0.1533477321814256
2002-04-30,0.10394265232974931,0.10470085470085477,0.04634831460674138,0.12178387650085765,0.03220611916264082,-0.012323943661971648,0.10676156583629881,0.21541501976284572,0.09212121212121183,0.13248847926267282,0.23093220338983067
2002-05-31,0.08665511265164638,0.0854166666666667,0.02150537634408578,0.1018062397372741,0.04991680532445919,0.023550724637681153,0.18019801980198014,0.21711899791231737,0.059683313032886876,0.185017026106697,-0.08976660682226223
2002-06-30,0.06537102473498213,0.021321961620469176,0.09274193548387077,0.08739495798319341,0.01153212520593061,0.13518886679920494,0.03361344537815136,0.09401709401709413,-0.031328320802005094,-0.12135922330097082,1.0751879699248117
2002-07-31,0.11191335740072184,0.10444444444444456,0.15838509316770177,0.12116040955631391,0.03428571428571425,0.0019723865877712132,0.19057377049180335,-0.014184397163120366,0.019736842105263275,0.04919908466819223,0.8752166377816291
2002-08-31,0.07360861759425474,0.08810572687224671,-0.024161073825503254,0.08998302207130737,0.011925042589437718,0.006772009029345272,0.1869747899159664,0.019067796610169552,-0.032019704433497664,0.22646310432569994,-0.1582031249999999
