,gdp_estimated
2001-01-01,0.0
2001-02-01,-3.742177640210119
2001-03-01,0.7747191724922835
2001-04-01,0.855242053508058
2001-05-01,0.9314661174299181
2001-06-01,1.664080899841541
2001-07-01,-0.3070209709597691
2001-08-01,-1.766480714917522
2001-09-01,4.394396425601351
2001-10-01,-2.3910101583473726
2001-11-01,2.5686267689337545
2001-12-01,0.4134648008894306
2002-01-01,5.135739341441495
2002-02-01,-5.116759744985272
2002-03-01,-1.0692549050665585
2002-04-01,2.758319346391912
2002-05-01,2.128416150455946
2002-06-01,0.12347921503076087
2002-07-01,1.1056396956868166
2002-08-01,0.5418869144677778
2002-09-01,-0.7760674965134733
2002-10-01,1.2102654462995712
2002-11-01,0.21990487455799368
2002-12-01,0.23964199054446667
2003-01-01,-0.8508431509083607
2003-02-01,0.022819378773764498
2003-03-01,-0.29229816046936996
2003-04-01,-0.2136993210082121
2003-05-01,-0.1894945275029265
2003-06-01,0.9818639601954686
2003-07-01,0.5722459018775083
2003-08-01,0.577251029500836
2003-09-01,1.0545268424777916
2003-10-01,1.0807109063894025
2003-11-01,0.526010986934736
2003-12-01,0.8195405925059056
2004-01-01,-0.16695925547134394
2004-02-01,0.9679358545723957
2004-03-01,0.29991388532269525
2004-04-01,0.08490731048316391
2004-05-01,0.22901367790736415
2004-06-01,0.11948708751799231
2004-07-01,0.09958938614445856
2004-08-01,0.08812421192099862
2004-09-01,0.25699556478127406
2004-10-01,0.24148918842378464
2004-11-01,0.49797216935814603
2004-12-01,0.07747275452880942
2005-01-01,0.7354049285441597
2005-02-01,-0.41706871577615345
2005-03-01,0.6750049675040621
2005-04-01,0.9103851141783643
2005-05-01,0.7592050095189613
2005-06-01,0.5174934191950058
2005-07-01,0.5731153069749126
2005-08-01,0.3628907577463849
2005-09-01,0.26068071567352646
2005-10-01,0.16526051191880953
2005-11-01,0.513580130706714
2005-12-01,0.5928060137366984
2006-01-01,0.301303723966619
2006-02-01,1.024333993961001
2006-03-01,0.14822868199804162
2006-04-01,-0.11909676407900349
2006-05-01,0.29239267762226007
2006-06-01,0.5517135790353933
2006-07-01,0.37984259512637664
2006-08-01,0.6783776058898496
2006-09-01,0.9078971671481426
2006-10-01,-0.25294826818578997
2006-11-01,0.21295896170426687
2006-12-01,0.23875494096269279
2007-01-01,1.008001312456102
2007-02-01,0.3929650647926124
2007-03-01,0.5995970894168181
2007-04-01,0.746828730129458
2007-05-01,0.4780047171233761
2007-06-01,0.31134513173862643
2007-07-01,0.5129515969467633
2007-08-01,0.4815291478766568
2007-09-01,-0.0026080671942239064
2007-10-01,1.546939567181255
2007-11-01,0.5998540207957035
2007-12-01,0.2831602433766278
2008-01-01,-1.6476974558088386e-05
2008-02-01,-0.008236914901985415
2008-03-01,0.05034875317868881
2008-04-01,0.14071032117569615
2008-05-01,0.2783285111881213
2008-06-01,0.42875142264126964
2008-07-01,0.8023052256909224
2008-08-01,-0.24774627792159976
2008-09-01,-0.6472544777002369
2008-10-01,-1.7989188994326426
2008-11-01,-1.2776533412284579
2008-12-01,-0.40568138592306013
2009-01-01,0.18866553249491602
2009-02-01,0.7341280988189354
2009-03-01,0.3547633179519565
2009-04-01,0.2200650357187186
2009-05-01,0.36248208031911133
2009-06-01,1.0711859974827576
2009-07-01,1.3915635473022974
2009-08-01,0.7451539672851766
2009-09-01,0.8301473482381283
2009-10-01,-0.6869371829983493
2009-11-01,0.31997158687264715
2009-12-01,1.1154197114883289
2010-01-01,0.9692947826422724
2010-02-01,-0.018009740253624784
2010-03-01,0.5773241227311274
2010-04-01,0.8344087325721716
2010-05-01,0.782216552308654
2010-06-01,0.4957021924575571
2010-07-01,0.3628639709408361
2010-08-01,0.44611538636603143
2010-09-01,-0.1544436227783308
2010-10-01,0.6979326555006153
2010-11-01,0.4971213528383558
2010-12-01,0.37473118701206687
2011-01-01,0.3466717639059169
2011-02-01,0.08676274012230323
2011-03-01,0.239875501175149
2011-04-01,0.10116766204627936
2011-05-01,0.2189587170867071
2011-06-01,0.19206583721515358
2011-07-01,0.10000087038564232
2011-08-01,0.16892801776624822
2011-09-01,0.25905096179354814
2011-10-01,0.0885430569682768
2011-11-01,0.16814063397772827
2011-12-01,0.21105961978639698
2012-01-01,0.01648471057258405
2012-02-01,0.9774708753541006
2012-03-01,0.10534424402351306
2012-04-01,-0.007671713745338593
2012-05-01,0.23598456412473467
2012-06-01,0.1628866495854311
2012-07-01,0.18985936344804344
2012-08-01,0.10311113286500984
2012-09-01,0.16244178063022474
2012-10-01,0.08673382761579518
2012-11-01,0.3222472892450696
2012-12-01,0.1673092445370159
2013-01-01,0.6900798375673673
2013-02-01,-0.17038999675004618
2013-03-01,0.31367470247890594
2013-04-01,0.6828355596387539
2013-05-01,0.4274388473316577
2013-06-01,0.2396562182126658
2013-07-01,0.31297175662407994
2013-08-01,0.4234321722453984
2013-09-01,0.007469101879969742
2013-10-01,0.45949904251843066
2013-11-01,0.2226208655900166
2013-12-01,0.43789076525931847
2014-01-01,0.039343201118612114
2014-02-01,0.5207724663655569
2014-03-01,0.44202306780440637
2014-04-01,0.39313741778561706
2014-05-01,0.01572126391401696
2014-06-01,0.08432661684072684
2014-07-01,0.20263042699144762
2014-08-01,-0.0962222906326673
2014-09-01,0.30017880269552677
2014-10-01,0.1177920579647207
2014-11-01,0.11109274789042445
2014-12-01,0.42030301556660277
2015-01-01,0.4352135425741466
2015-02-01,-0.02141825179948853
2015-03-01,0.18549709685289173
2015-04-01,0.0539280806812954
2015-05-01,0.18113147094742033
