,moneraty_rate,cpi_rate,ccpi_without_arg_crd_oil,ccpi_without_food_energy,retail_consumption,vehicle_consumption,hushld_loan,mortgage_loan,durb_goods_sales,quas_drub_goods_sales,non_durb_goods_sales,gdp_lag1,tax,govern_exp_goods,govern_subsidy,estimated_consumption
2003-01-01,0.139,0.038,0.031000000000000003,0.035,0.652,0.4,0.0706,0.0669,-0.037000000000000005,0.040999999999999995,0.16,-0.008508431509083607,-0.0803257864454906,-0.4016293279022404,0.5231893991318255,0.00022925699636922037
2003-02-01,0.133,0.039,0.03,0.035,0.6020000000000001,0.397,0.069,0.06559999999999999,-0.003,-0.065,-0.071,0.000228193787737645,0.04721239477857764,-0.14600699112664695,0.19736599742125627,-6.732505825035595e-05
2003-03-01,0.11900000000000001,0.045,0.034,0.037000000000000005,0.605,0.38200000000000006,0.0696,0.066,-0.083,-0.045,-0.035,-0.0029229816046937003,0.34962859795728884,0.008813448669822144,0.18970747562296864,0.0037757672596381298
2003-04-01,0.10300000000000001,0.037000000000000005,0.032,0.035,0.603,0.38,0.0684,0.0649,-0.087,-0.08,-0.02,-0.002136993210082121,0.1642997655555256,-0.012682691146273739,0.29276859504132235,-0.003718238190641099
2003-05-01,0.091,0.032,0.031000000000000003,0.034,0.615,0.365,0.0664,0.063,-0.166,-0.054000000000000006,0.062000000000000006,-0.001894945275029265,0.07087277914667367,-0.014459000485201323,0.20987173242409485,-0.005998023074251568
2003-06-01,0.079,0.03,0.033,0.035,0.61,0.298,0.0647,0.061500000000000006,-0.1,-0.10400000000000001,0.040999999999999995,0.009818639601954686,0.16302202730987747,-0.019662253230793625,0.1784609880140049,-0.005333448740599489
2003-07-01,0.07,0.032,0.031000000000000003,0.033,0.618,0.315,0.0641,0.060700000000000004,-0.122,-0.10099999999999999,0.024,0.005722459018775084,0.11757594787659942,-0.02413633048206354,0.31190609278926784,-0.0013074953346721152
2003-08-01,0.067,0.03,0.032,0.032,0.62,0.297,0.061500000000000006,0.0581,-0.152,-0.086,0.003,0.0057725102950083595,0.09741930629749462,0.6228504122497056,0.32297449641588494,-0.0043051723212508275
2003-09-01,0.057999999999999996,0.033,0.031000000000000003,0.032,0.622,0.312,0.0604,0.05740000000000001,-0.033,-0.09,-0.004,0.010545268424777921,0.08947035511895396,0.03706676029492906,0.38804385592402424,-0.0038022487980313713
2003-10-01,0.038,0.037000000000000005,0.027999999999999997,0.028999999999999998,0.624,0.309,0.0601,0.0575,-0.077,-0.046,-0.006999999999999999,0.01080710906389402,0.08507064840499301,0.059113746435522474,0.4325464484716388,-0.0028468215303185662
2003-11-01,0.032,0.034,0.027000000000000003,0.026000000000000002,0.625,0.304,0.0621,0.0604,-0.121,-0.021,0.013000000000000001,0.00526010986934736,0.11620398180725999,0.049681320477202195,0.42082654658107366,-0.0044049189408401634
2003-12-01,0.03,0.034,0.027999999999999997,0.028999999999999998,0.612,0.276,0.0631,0.06280000000000001,-0.1,0.018000000000000002,-0.009000000000000001,0.008195405925059056,0.10287879808015998,0.04184568095287999,0.39995647758595676,-0.0037400276100504337
2004-01-01,0.024,0.034,0.027999999999999997,0.027999999999999997,0.633,0.303,0.0634,0.0629,-0.062000000000000006,-0.006,0.001,-0.0016695925547134392,0.019418264543386465,0.9407760381211709,0.17144142792860362,-0.0029015692998077824
2004-02-01,0.026000000000000002,0.033,0.027000000000000003,0.026000000000000002,0.63,0.31,0.0608,0.061500000000000006,0.013000000000000001,0.073,0.027000000000000003,0.009679358545723958,-0.1080498602050326,0.6312972292191437,0.37804784247365597,-0.0007707395171605569
2004-03-01,0.027000000000000003,0.031000000000000003,0.027000000000000003,0.024,0.61,0.282,0.0611,0.059800000000000006,-0.015,-0.03,0.025,0.0029991388532269532,0.00024078979051278537,0.9367416275683547,0.27807121391494394,0.0011311610946854733
2004-04-01,0.031000000000000003,0.033,0.027000000000000003,0.022000000000000002,0.614,0.33,0.060700000000000004,0.060300000000000006,0.0,0.051,0.003,0.0008490731048316391,0.005415914456325499,0.32089552238805963,0.12657823237973465,0.005731348864773778
2004-05-01,0.039,0.033,0.027000000000000003,0.022000000000000002,0.61,0.315,0.0602,0.0601,-0.027000000000000003,0.064,-0.026000000000000002,0.0022901367790736423,0.022847916035926952,0.30454903505317055,0.2128401953942778,0.0016626215871955452
2004-06-01,0.045,0.036000000000000004,0.027000000000000003,0.022000000000000002,0.633,0.29300000000000004,0.06,0.0599,0.051,0.11599999999999999,0.006999999999999999,0.001194870875179923,-0.01724285689799976,0.3124140719773554,0.17301353226925742,-0.0010108724409225722
2004-07-01,0.051,0.044000000000000004,0.031000000000000003,0.026000000000000002,0.625,0.282,0.0592,0.0593,0.057,0.064,-0.032,0.0009958938614445857,-0.027604517869184053,0.3764354148263913,0.10295057520238604,-0.0013916491674343945
2004-08-01,0.055999999999999994,0.048,0.032,0.026000000000000002,0.61,0.295,0.056900000000000006,0.057999999999999996,0.062000000000000006,-0.008,-0.043,0.0008812421192099862,0.08936088524455288,-0.2115691682392219,0.11961991735935817,0.003896652086635033
2004-09-01,0.062000000000000006,0.039,0.032,0.023,0.634,0.318,0.056600000000000004,0.0563,0.027999999999999997,0.048,0.0,0.002569955647812741,0.05079504253655309,0.21406461597988002,0.07573460901973328,0.002740766623682611
2004-10-01,0.07,0.038,0.034,0.023,0.615,0.32799999999999996,0.0562,0.055700000000000006,0.051,0.055,-0.055,0.0024148918842378463,0.008308451252758697,0.17680242745416463,0.03506791494374162,0.00636432495190975
2004-11-01,0.057999999999999996,0.033,0.031000000000000003,0.024,0.618,0.324,0.055700000000000006,0.0547,0.10300000000000001,0.02,-0.05,0.00497972169358146,0.061437481380397285,0.16448699984430948,0.02546782804158476,0.004673930861280207
2004-12-01,0.059000000000000004,0.03,0.028999999999999998,0.022000000000000002,0.626,0.318,0.05480000000000001,0.0541,0.145,0.046,-0.02,0.0007747275452880942,0.027306105718496898,0.13551480202501098,0.03148219152530074,0.004180978087710008
2005-01-01,0.063,0.034,0.033,0.027000000000000003,0.614,0.295,0.055099999999999996,0.0545,0.003,-0.066,-0.099,0.007354049285441597,0.08687335618076042,-0.06559102069449319,0.5111395646606913,0.007309578603376998
